Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.35,0.037,15.39225628129175,677
1,0.43,0.029,8.163512658173696,693
2,0.49,0.029,24.934985576306488,625
3,0.13,0.037,4.150348728898749,1676
4,0.43,0.035,18.323764133222934,550
5,0.12,0.039,1.82065094225256,1732
6,0.35,0.036,14.693201496176039,661
7,0.35,0.001,4.128505663658022,2332
8,0.28,0.002,5.224311578270442,2295
9,0.49,0.037,20.328774303053947,466
10,0.35,0.024,8.460721360547623,997
11,0.38,0.002,2.8284552946566097,2198
12,0.4,0.019,8.879056649399176,1097
13,0.38,0.001,4.723090280008516,2303
14,0.4,0.039,17.448250854949617,514
15,0.35,0.011,4.230139118380902,1594
16,0.37,0.036,5.388628149506293,606
17,0.31,0.0,4.195776301768082,2375
18,0.39,0.029,15.039045494656142,746
19,0.39,0.037,12.312484653916538,539
20,0.38,0.029,8.634663012874082,781
21,0.4,0.014,12.183844400813493,1392
22,0.4,0.027,14.589035213551247,761
23,0.21,0.037,7.853862322814563,1210
24,0.43,0.002,6.660094993680598,2231
25,0.43,0.037,10.348616280649871,521
26,0.12,0.003,3.1033619162725303,2368
27,0.28,0.0,3.1394553379326915,2371
28,0.27,0.024,8.426925401896321,1216
29,0.14,0.039,4.576305910770021,1577
30,0.4,0.029,15.48243454754511,679
31,0.39,0.029,20.91181570305347,766
32,0.4,0.036,18.338456392243295,557
33,0.4,0.036,12.694844736745095,577
34,0.27,0.029,9.80130391205155,1109
35,0.3,0.0,3.6122390427097306,2431
36,0.44,0.025,22.869501283764315,842
37,0.32,0.036,7.750219917016253,758
38,0.1,0.013,4.180821892567572,2183
39,0.49,0.036,17.62060869455025,475
40,0.43,0.036,17.990462723653604,527
41,0.39,0.03,11.683139956453143,714
42,0.27,0.026,5.975462319333822,1252
43,0.23,0.039,3.949966387314475,1085
44,0.4,0.005,6.846273484979417,2031
45,0.28,0.002,3.6335702687642946,2297
46,0.4,0.036,23.66478187271065,555
47,0.38,0.024,14.121116598581546,954
48,0.39,0.031,16.641650333830444,697
49,0.27,0.002,4.0127647549928,2283
50,0.34,0.014,7.877912229803655,1435
51,0.43,0.034,11.094938634536348,580
52,0.35,0.039,12.245109363184756,625
53,0.35,0.002,3.805260893009626,2264
54,0.28,0.002,1.9730537287956411,2208
55,0.29,0.0,5.498439498781408,2344
56,0.31,0.029,10.50685086961534,958
57,0.49,0.037,26.29726645731878,425
58,0.4,0.037,12.804814008366156,570
59,0.43,0.039,17.461491449605642,470
60,0.4,0.0,4.879346166327299,2393
61,0.4,0.034,19.294514458437344,597
62,0.34,0.029,13.014834693346339,833
63,0.46,0.029,27.01380910363499,656
64,0.12,0.037,2.8597532968473804,1763
65,0.27,0.002,5.381637736224432,2279
66,0.35,0.002,5.94705846320383,2233
67,0.07,0.014,3.183662876429817,2262
68,0.43,0.036,10.776990609708047,574
69,0.27,0.002,2.2532066944140468,2245
70,0.45,0.002,5.484168326150272,2219
71,0.4,0.036,20.665202327197846,538
72,0.49,0.036,20.286283625371077,487
73,0.31,0.039,7.484554103928002,773
74,0.39,0.037,17.98473317469844,540
75,0.41,0.002,4.973920207668083,2174
76,0.12,0.026,3.3607719883903786,1856
77,0.4,0.037,17.145710343608098,537
78,0.46,0.037,26.328458271803022,459
79,0.4,0.024,12.760907387099971,875
80,0.15,0.034,7.1448418386609935,1523
81,0.4,0.03,13.619910001770538,716
82,0.43,0.03,8.40984101262847,648
83,0.12,0.003,2.9511835119947216,2320
84,0.32,0.001,4.6823133818905776,2301
85,0.44,0.039,29.56697883265293,463
86,0.4,0.036,28.378787625001767,579
87,0.37,0.039,8.667785530290857,606
88,0.45,0.031,25.72668547929516,577
89,0.12,0.014,3.926834222280831,2139
90,0.43,0.039,24.374967521944633,470
91,0.49,0.034,18.03667520532628,492
92,0.43,0.029,16.997721411167205,714
93,0.46,0.036,26.791883682368972,465
94,0.43,0.039,17.78793119831771,500
95,0.46,0.034,19.34588600255279,521
96,0.39,0.037,11.645145100581598,585
97,0.43,0.036,20.7188591240269,554
98,0.35,0.034,20.78006554979993,705
99,0.25,0.0,5.275838909636742,2410
100,0.39,0.036,12.762826216566328,560
101,0.35,0.014,8.309894516898185,1451
102,0.38,0.029,18.139081466566807,753
103,0.33,0.0,2.5203402774405173,2447
104,0.49,0.03,20.072921374107956,560
105,0.4,0.037,14.26826193525387,578
106,0.35,0.024,8.220680369385319,1002
107,0.35,0.024,15.320954523411812,991
108,0.32,0.0,5.109396641316953,2395
109,0.43,0.03,16.146133435232922,637
110,0.35,0.0,5.060677998956672,2422
111,0.34,0.0,3.7443901853137507,2378
112,0.4,0.037,10.002414062365068,540
113,0.27,0.024,10.789013367684436,1294
114,0.15,0.037,5.29433196075804,1506
115,0.11,0.0,3.9979276549165355,2439
116,0.43,0.029,9.542108093918864,721
117,0.28,0.007,7.7036993844877655,2000
118,0.4,0.037,9.904096918861095,562
119,0.49,0.037,27.186917310937815,457
120,0.46,0.037,25.813469931461114,453
121,0.39,0.029,13.092813393452039,687
122,0.38,0.037,12.767694040412561,584
123,0.4,0.039,22.338185561254146,520
124,0.43,0.037,22.639083673990744,508
125,0.43,0.024,5.235328481303653,830
126,0.28,0.002,4.61680014285329,2246
127,0.43,0.037,18.73555209210305,500
128,0.35,0.003,6.794737236447205,2176
129,0.43,0.039,19.372234120208986,506
130,0.25,0.002,6.817190657024967,2271
131,0.35,0.025,11.563173348222996,976
132,0.39,0.037,12.362707886006593,566
