Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20091027,Cleveland Cavaliers,(Favorite), 89 ,-5.0,-5.0,-200.0,0.5,0.6639919759277834,-0.004012036108324957
,Boston Celtics,(Underdog), 95 ,5.0,5.0,185.0,1.85,0.33600802407221664,-0.04237713139418253

20091027,Los Angeles Lakers,(Favorite), 99 ,-12.0,-11.5,-700.0,0.14285714285714285,0.878188451532458,0.003643944608523353
,Los Angeles Clippers,(Underdog), 92 ,11.5,12.0,700.0,7.0,0.12181154846754207,-0.02550761225966347

20091028,Orlando Magic,(Favorite), 120 ,-10.5,-9.5,-500.0,0.2,0.8398114597142436,0.007773751657092376
,Philadelphia 76ers,(Underdog), 106 ,9.5,10.5,550.0,5.5,0.16018854028575638,0.04122551185741641

20091028,Atlanta Hawks,(Favorite), 120 ,-8.0,-7.5,-350.0,0.2857142857142857,0.7622954614601108,-0.01990583526557177
,Indiana Pacers,(Underdog), 109 ,7.5,8.0,350.0,3.5,0.23770453853988915,0.06967042342950125

20091028,Cleveland Cavaliers,(Favorite), 91 ,-7.5,-6.5,-250.0,0.4,0.7303151596408218,0.022441223497150553
,Toronto Raptors,(Underdog), 101 ,6.5,7.5,280.0,2.8,0.2696848403591783,0.02480239336487744

20091028,Miami Heat,(Favorite), 115 ,-5.5,-5.0,-215.0,0.46511627906976744,0.6689274775967029,-0.019943463055993427
,New York Knicks,(Underdog), 93 ,5.0,5.5,190.0,1.9,0.33107252240329715,-0.03988968503043833

20091028,Detroit Pistons,(Favorite), 96 ,-2.0,0.0,-127.0,0.7874015748031497,0.5150128271512463,-0.07946526170604007
,Memphis Grizzlies,(Underdog), 74 ,0.0,2.0,120.0,1.2,0.48498717284875376,0.06697178026725825

20091028,Oklahoma City Thunder,(Favorite), 102 ,-6.5,-6.5,-300.0,0.3333333333333333,0.708974358974359,-0.05470085470085467
,Sacramento Kings,(Underdog), 89 ,6.5,6.5,220.0,2.2,0.29102564102564105,-0.06871794871794856

20091028,New Jersey Nets,(Favorite), 93 ,-3.0,-2.0,105.0,1.05,0.568253619318765,0.1649199196034682
,Minnesota Timberwolves,(Underdog), 95 ,2.0,3.0,125.0,1.25,0.4317463806812351,-0.028570643467220935

20091028,Denver Nuggets,(Favorite), 114 ,-5.5,-5.0,-200.0,0.5,0.6689274775967029,0.003391216395054353
,Utah Jazz,(Underdog), 105 ,5.0,5.5,200.0,2.0,0.33107252240329715,-0.006782432790108595

20091028,Golden State Warriors,(Favorite), 107 ,-6.0,-5.5,-220.0,0.45454545454545453,0.6936830698623151,0.008993556163367389
,Houston Rockets,(Underdog), 108 ,5.5,6.0,220.0,2.2,0.30631693013768485,-0.01978582355940839

20091028,Phoenix Suns,(Favorite), 109 ,-3.5,-2.5,-135.0,0.7407407407407407,0.5964543471580074,0.038272382089864665
,Los Angeles Clippers,(Underdog), 107 ,2.5,3.5,140.0,1.4,0.40354565284199256,-0.03149043317921796

20091029,San Antonio Spurs,(Favorite), 85 ,-3.0,-2.0,-145.0,0.6896551724137931,0.5685760769192373,-0.039302490722668004
,Chicago Bulls,(Underdog), 92 ,2.0,3.0,145.0,1.45,0.43142392308076266,0.056988611547868495

20091029,Portland Trail Blazers,(Favorite), 94 ,-7.5,-7.0,-320.0,0.3125,0.7412907764002462,-0.027055855974676857
,Denver Nuggets,(Underdog), 97 ,7.0,7.5,300.0,3.0,0.2587092235997538,0.03483689439901516

