Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.17,0.007,6.689422081724127,633
1,0.27,0.007,7.118549626713983,589
2,0.15,0.009,8.907487976125505,638
3,0.37,0.015,10.128734705705975,446
4,0.17,0.007,4.697916230829667,654
5,0.13,0.021,2.1316944740550476,580
6,0.37,0.019,10.422639667023047,375
7,0.37,0.017,14.306671630549614,394
8,0.37,0.015,14.906619486235343,426
9,0.37,0.007,6.509044279375985,579
10,0.29,0.009,6.4868962180131735,550
11,0.29,0.007,9.830959795914938,607
12,0.37,0.019,14.832041542218056,350
13,0.28,0.027,4.75791414137028,378
14,0.36,0.007,5.734792189186827,581
15,0.3,0.019,4.327126420944893,417
16,0.29,0.007,6.519749881170952,592
17,0.15,0.006,4.572655118954895,651
18,0.37,0.019,15.965599261896624,367
19,0.46,0.007,3.4830720299522326,531
20,0.15,0.009,5.651026921977776,650
21,0.37,0.007,10.917550582223186,573
22,0.37,0.019,13.065087859574698,370
23,0.37,0.021,8.375789725793274,378
24,0.37,0.019,13.718996454847806,356
25,0.17,0.009,8.728084941857677,622
26,0.37,0.019,22.946954936090926,353
27,0.29,0.009,4.314748681241633,539
28,0.37,0.029,5.8439243069595355,265
29,0.17,0.0,5.441308700073969,698
30,0.37,0.019,5.148631139108973,375
31,0.37,0.007,10.109451060110457,536
32,0.17,0.007,3.8336022462408748,645
33,0.37,0.022,14.858675547837239,308
34,0.37,0.019,10.273219795440449,377
35,0.27,0.022,5.567859407341517,409
36,0.37,0.007,12.352224977037308,592
37,0.27,0.007,2.2277357029107643,593
38,0.37,0.019,2.4383910559917905,350
39,0.37,0.007,5.10772942350836,569
40,0.37,0.015,10.973688236934132,461
41,0.37,0.019,4.677334832095548,370
42,0.37,0.008,6.857835706682571,521
43,0.37,0.007,4.850717738186812,579
44,0.27,0.009,10.5013410163216,593
45,0.15,0.007,-1.0547171312355723,683
46,0.15,0.007,1.292462306454605,645
47,0.3,0.017,10.650349873583123,439
48,0.26,0.012,4.459828976111255,479
49,0.37,0.019,16.672210730668606,385
50,0.37,0.017,7.337503210527345,386
51,0.37,0.019,7.21387495865826,377
52,0.37,0.009,6.700462982703484,553
53,0.38,0.007,11.610879815316935,554
54,0.15,0.01,5.537273150489268,640
55,0.16,0.022,7.300562405015157,540
56,0.37,0.009,7.078143592228906,527
57,0.04,0.0,5.458036597101126,640
58,0.17,0.015,5.970974260762858,563
59,0.29,0.007,11.293162100529972,610
60,0.15,0.008,7.853232513213094,659
61,0.37,0.019,17.209039973984503,371
62,0.37,0.009,16.94235836144746,549
63,0.28,0.02,5.068789499609005,436
64,0.3,0.019,11.165485752376966,454
65,0.26,0.019,3.2969452837618043,472
66,0.37,0.018,11.76505269626315,353
67,0.26,0.007,7.119771945736916,619
68,0.3,0.02,13.352989314443267,411
69,0.14,0.009,6.740092121892053,694
70,0.3,0.015,12.349071163161,490
71,0.37,0.019,8.38796412002872,365
72,0.28,0.019,6.7497304259830555,417
73,0.17,0.007,7.990575502967003,647
74,0.29,0.009,11.07577360788683,587
75,0.16,0.009,6.236983140697779,630
76,0.37,0.028,15.953591613905887,256
77,0.36,0.019,0.8224703444285515,378
78,0.14,0.007,4.889262040452916,684
79,0.37,0.007,12.874193139209018,550
80,0.17,0.019,12.427612722847812,569
81,0.37,0.019,7.8704235371979845,379
82,0.15,0.009,5.363353810586912,655
83,0.06,0.009,3.368635161511678,680
84,0.16,0.007,8.938248314814249,644
85,0.36,0.019,14.513567607087893,410
86,0.3,0.019,9.06823764631007,434
87,0.15,0.009,7.406649829251827,659
88,0.37,0.007,12.53641285566531,568
89,0.37,0.007,8.671662244646438,599
90,0.37,0.021,4.709321049406648,324
91,0.3,0.007,9.268146185542037,573
92,0.15,0.002,2.6786307499497406,703
93,0.15,0.009,5.53963395098566,665
94,0.14,0.007,9.517783639653521,664
95,0.36,0.007,6.204614733440616,584
96,0.28,0.018,14.876174362677919,452
97,0.28,0.021,7.956072742380502,429
98,0.37,0.019,14.619496087658826,365
99,0.3,0.02,7.131800058121762,430
100,0.38,0.019,16.55093991354156,338
101,0.37,0.009,7.333972604035667,536
102,0.36,0.007,7.146104937420088,570
103,0.05,0.003,4.101501448723844,704
104,0.26,0.012,6.048638560313205,527
105,0.37,0.019,12.187288144382263,358
106,0.15,0.009,4.220831008298955,651
107,0.17,0.007,2.8877633265219282,650
108,0.46,0.019,7.865020692233273,335
109,0.37,0.009,7.026657990418875,511
110,0.03,0.002,1.9993852869466862,692
111,0.17,0.007,9.030689814711144,661
112,0.37,0.019,10.061971369881757,357
113,0.15,0.01,7.191633006016282,620
114,0.15,0.009,1.0636318959876745,616
115,0.37,0.027,9.803887712691607,271
116,0.37,0.007,7.820926386853386,594
117,0.17,0.007,6.457093752695448,631
118,0.27,0.007,11.11898614209231,610
119,0.15,0.007,4.183560110817174,677
120,0.27,0.012,8.222056789467455,517
121,0.37,0.019,17.240134542518412,355
122,0.36,0.019,11.721257047315214,372
