Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.37,0.008,14.585914520600177,538
1,0.37,0.025,17.326639903801826,310
2,0.28,0.008,9.3905787232142,574
3,0.18,0.025,10.216761989118973,488
4,0.37,0.009,2.297127208627196,508
5,0.37,0.025,20.99285277926421,281
6,0.18,0.018,9.784809046494022,535
7,0.37,0.006,9.46904253128439,590
8,0.01,0.025,4.075653963994866,699
9,0.37,0.006,7.0303467725124715,590
10,0.18,0.008,4.80304699355382,630
11,0.37,0.025,18.23266066024704,264
12,0.37,0.008,10.183194511488836,544
13,0.38,0.006,6.409689839702199,579
14,0.17,0.008,7.983691105231158,608
15,0.37,0.025,10.560176263430353,302
16,0.0,0.018,7.704409730150129,674
17,0.37,0.01,6.36408930558185,503
18,0.35,0.009,8.218837344764896,536
19,0.37,0.009,11.212404093469242,501
20,0.37,0.006,9.009349911100008,582
21,0.37,0.009,9.114812945659665,531
22,0.37,0.008,9.336211631395166,587
23,0.03,0.009,7.130477493470409,676
24,0.37,0.009,10.151954135475796,551
25,0.35,0.009,10.44522215078472,530
26,0.17,0.021,4.695315024700564,520
27,0.17,0.019,5.006539924873735,509
28,0.17,0.009,8.386380643290998,602
29,0.37,0.008,12.609483277039779,519
30,0.17,0.006,5.460179980764205,613
31,0.37,0.009,13.367033582224256,530
32,0.37,0.008,14.675422739803818,556
33,0.28,0.025,6.0771652300866466,351
34,0.29,0.021,12.597867652909475,380
35,0.37,0.025,16.36280658303715,296
36,0.35,0.006,8.463423522223074,565
37,0.35,0.006,9.770623085538146,552
38,0.37,0.006,12.336419717374335,562
39,0.37,0.009,7.409923385343278,513
40,0.37,0.008,9.3620091540437,528
41,0.02,0.0,9.115342107009669,675
42,0.38,0.006,11.42905608134385,587
43,0.37,0.008,15.469360269574356,528
44,0.26,0.008,9.0210958346997,602
45,0.37,0.006,7.748073455988867,568
46,0.37,0.025,10.200072443591573,284
47,0.37,0.008,9.597258437983736,543
48,0.02,0.0,3.392177075303305,694
49,0.37,0.021,16.416210532374752,339
50,0.37,0.021,15.150641152444905,330
51,0.18,0.018,8.849598741262636,529
52,0.37,0.008,6.690386681911111,545
53,0.14,0.008,6.812819345524697,656
54,0.37,0.008,12.327242377275919,509
55,0.35,0.008,6.625313215146641,555
56,0.37,0.006,9.894728918470683,576
57,0.35,0.027,8.749515512051111,273
58,0.35,0.006,11.506825486224182,602
59,0.03,0.025,4.160291701555761,675
60,0.26,0.009,2.060743153992307,550
61,0.37,0.008,17.377513337843023,525
62,0.38,0.008,8.920568285022847,514
63,0.37,0.021,18.045272350215516,333
64,0.37,0.021,13.0652709092975,340
65,0.18,0.018,6.717483789396921,531
66,0.37,0.008,11.324098203856394,564
67,0.37,0.021,17.951885637975952,333
68,0.37,0.009,12.957348518385672,549
69,0.35,0.008,11.71131128842208,562
70,0.35,0.009,7.623646473647419,540
71,0.37,0.025,18.638070472875796,306
