Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20121215,Oregon Ducks,(Favorite),60,-14.5,-13.5,-1200.0,0.08333333333333333,0.9337541709432373,0.011567018521840416
,Nebraska Cornhuskers,(Underdog),38,13.5,14.5,900.0,9.0,0.06624582905676273,-0.3375417094323728

20130108,Duke Blue Devils,(Favorite),68,-16.0,-15.5,-2000.0,0.05,0.9682071451982956,0.016617502458210434
,Clemson Tigers,(Underdog),40,15.5,16.0,0.0,0.0,0.03179285480170436,-0.9682071451982956

20130116,Maryland Terrapins,(Favorite),51,-2.5,-2.0,-130.0,0.7692307692307693,0.5693046974600373,0.007231387813912193
,North Carolina State Wolfpack,(Underdog),50,2.0,2.5,125.0,1.25,0.43069530253996274,-0.030935569285083897

20130116,Miami-Florida Hurricanes,(Favorite),60,-6.5,-6.0,-260.0,0.38461538461538464,0.7296157280794776,0.01023716195619978
,Boston College Eagles,(Underdog),59,6.0,6.5,240.0,2.4,0.2703842719205224,-0.08069347547022387

20130116,Louisiana State Tigers,(Favorite),73,-10.0,-10.0,-550.0,0.18181818181818182,0.8371681415929203,-0.010619469026548728
,South Carolina Gamecocks,(Underdog),82,10.0,10.0,425.0,4.25,0.16283185840707964,-0.14513274336283188

20130116,Missouri Tigers,(Favorite),79,-14.0,-13.0,-1000.0,0.1,0.9127558513663799,0.004031436503017932
,Georgia Bulldogs,(Underdog),62,13.0,14.0,800.0,8.0,0.08724414863362,-0.21480266229742007

20130116,Arkansas Razorbacks,(Favorite),88,-12.0,-12.0,-800.0,0.125,0.88558352402746,-0.0037185354691075118
,Auburn Tigers,(Underdog),80,12.0,12.0,600.0,6.0,0.11441647597254005,-0.1990846681922197

20130116,Alabama Crimson Tide,(Favorite),75,-4.0,-3.0,-155.0,0.6451612903225806,0.6355351758186231,0.04555786989515409
,Mississippi State Bulldogs,(Underdog),43,3.0,4.0,150.0,1.5,0.3644648241813769,-0.08883793954655783

20130116,Iowa State Cyclones,(Favorite),69,-8.5,-8.0,-400.0,0.25,0.7998774030879345,-0.0001532461400818308
,West Virginia Mountaineers,(Underdog),67,8.0,8.5,375.0,3.75,0.20012259691206546,-0.04941766466768904

20130116,Kansas State Wildcats,(Favorite),67,-11.0,-11.0,-700.0,0.14285714285714285,0.8668032786885246,-0.00936768149882905
,Texas Christian Horned Frogs,(Underdog),54,11.0,11.0,550.0,5.5,0.13319672131147542,-0.13422131147540972

20130116,Purdue Boilermakers,(Favorite),65,-2.5,-1.5,-125.0,0.8,0.5504857868862776,-0.009125583604700338
,Nebraska Cornhuskers,(Underdog),56,1.5,2.5,125.0,1.25,0.44951421311372247,0.011406979505875547

20130116,Washington State Cougars,(Favorite),75,-8.0,-8.0,-380.0,0.2631578947368421,0.7708628005657708,-0.02627856770639475
,Utah Utes,(Underdog),65,8.0,8.0,310.0,3.1,0.22913719943422914,-0.060537482319660496

20130204,West Virginia Mountaineers,(Favorite),60,-7.0,-6.0,-260.0,0.38461538461538464,0.7318913857677902,0.013388072601555723
,Texas Longhorns,(Underdog),58,6.0,7.0,260.0,2.6,0.2681086142322098,-0.03480898876404481

20130205,North Carolina Tar Heels,(Favorite),87,-15.0,-13.5,-1000.0,0.1,0.9331989875572029,0.026518886312923165
,Wake Forest Demon Deacons,(Underdog),62,13.5,15.0,950.0,9.5,0.06680101244279715,-0.29858936935062996

20130205,Purdue Boilermakers,(Favorite),58,-3.0,-2.5,-145.0,0.6896551724137931,0.6016615353933215,0.016600525319750092
,Penn State Nittany Lions,(Underdog),49,2.5,3.0,135.0,1.35,0.39833846460667854,-0.06390460817430543

20130205,Florida Gators,(Favorite),69,-11.5,-10.0,-700.0,0.14285714285714285,0.8618360491919871,-0.015044515209157616
,Arkansas Razorbacks,(Underdog),80,10.0,11.5,700.0,7.0,0.13816395080801286,0.10531160646410287

20130206,Michigan State Spartans,(Favorite),61,-4.5,-3.5,-170.0,0.5882352941176471,0.6480954629812765,0.02932808826438038
,Minnesota Golden Gophers,(Underdog),50,3.5,4.5,170.0,1.7,0.3519045370187235,-0.04985775004944659

20130206,Oklahoma State Cowboys,(Favorite),69,-7.0,-6.5,-280.0,0.35714285714285715,0.7503427450331517,0.018322296830705853
,Baylor Bears,(Underdog),67,6.5,7.0,270.0,2.7,0.24965725496684826,-0.07626815662266129

20130207,Virginia Cavaliers,(Favorite),78,-8.0,-7.5,-350.0,0.2857142857142857,0.7649595088389242,-0.016480631492811815
,Clemson Tigers,(Underdog),41,7.5,8.0,300.0,3.0,0.2350404911610758,-0.05983803535569676

20130207,Indiana Hoosiers,(Favorite),72,-7.0,-7.0,-300.0,0.3333333333333333,0.7512437810945274,0.0016583747927031434
,Illinois Fighting Illini,(Underdog),74,7.0,7.0,280.0,2.8,0.24875621890547264,-0.054726368159204064

20130209,Missouri Tigers,(Favorite),98,-7.0,-6.0,-250.0,0.4,0.7370892868576148,0.031925001600660696
,Mississippi Rebels,(Underdog),79,6.0,7.0,260.0,2.6,0.2629107131423853,-0.05352143268741283

20130209,Louisville Cardinals,(Favorite),101,-6.0,-5.5,-250.0,0.4,0.6974137448190881,-0.023620757253276614
,Notre Dame Fighting Irish,(Underdog),104,5.5,6.0,230.0,2.3,0.30258625518091187,-0.0014653579029908492

20130209,Michigan State Spartans,(Favorite),78,-4.0,-3.5,-170.0,0.5882352941176471,0.6397238039207447,0.016031923874123943
,Purdue Boilermakers,(Underdog),65,3.5,4.0,160.0,1.6,0.3602761960792554,-0.06328189019393604

20130209,Oregon Ducks,(Favorite),73,-13.5,-12.5,-975.0,0.10256410256410256,0.9095827490358092,0.0028732873984562424
,Utah Utes,(Underdog),64,12.5,13.5,800.0,8.0,0.09041725096419094,-0.18624474132228153

20130209,Nebraska Cornhuskers,(Favorite),67,-6.0,-6.0,-250.0,0.4,0.7112831858407079,-0.004203539823008862
,Penn State Nittany Lions,(Underdog),53,6.0,6.0,210.0,2.1,0.288716814159292,-0.1049778761061948

20130211,Oklahoma Sooners,(Favorite),75,-15.5,-15.5,-1800.0,0.05555555555555555,0.9653679653679653,0.018999518999518947
,Texas Christian Horned Frogs,(Underdog),48,15.5,15.5,1125.0,11.25,0.03463203463203463,-0.5757575757575757

20130211,Kansas Jayhawks,(Favorite),83,-8.0,-7.5,-360.0,0.2777777777777778,0.7665910316319196,-0.020467015136991673
,Kansas State Wildcats,(Underdog),62,7.5,8.0,330.0,3.3,0.2334089683680805,0.0036585639827461103

20130212,Virginia Cavaliers,(Favorite),73,-14.0,-14.0,-1300.0,0.07692307692307693,0.9209039548022598,-0.008257279443720164
,Virginia Tech Hokies,(Underdog),55,14.0,14.0,900.0,9.0,0.07909604519774012,-0.20903954802259872

20130212,Florida Gators,(Favorite),69,-10.5,-10.0,-600.0,0.16666666666666666,0.8417384464617289,-0.017971812461316294
,Kentucky Wildcats,(Underdog),52,10.0,10.5,500.0,5.0,0.1582615535382711,-0.05043067877037344

20130212,Michigan Wolverines,(Favorite),52,-2.0,-1.0,-120.0,0.8333333333333334,0.5282244844798952,-0.031588445120192044
,Michigan State Spartans,(Underdog),75,1.0,2.0,125.0,1.25,0.4717755155201047,0.06149490992023554

20130212,Alabama Crimson Tide,(Favorite),52,-1.5,-1.5,-120.0,0.8333333333333334,0.515832482124617,-0.05430711610486888
,Georgia Bulldogs,(Underdog),45,1.5,1.5,105.0,1.05,0.48416751787538304,-0.0074565883554648105

20130213,Boston College Eagles,(Favorite),66,-5.5,-5.5,-240.0,0.4166666666666667,0.6824395373291272,-0.03321065545040308
,Wake Forest Demon Deacons,(Underdog),63,5.5,5.5,200.0,2.0,0.3175604626708728,-0.04731861198738163

20130213,Indiana Hoosiers,(Favorite),76,-24.0,-23.0,-13650.0,0.007326007326007326,0.993939393939394,0.0012210012210012939
,Nebraska Cornhuskers,(Underdog),47,23.0,24.0,7350.0,73.5,0.006060606060606061,-0.5484848484848485

20130213,Miami-Florida Hurricanes,(Favorite),74,-6.0,-5.5,-245.0,0.40816326530612246,0.6971053572234195,-0.01836184390987866
,Florida State Seminoles,(Underdog),68,5.5,6.0,225.0,2.25,0.3028946427765805,-0.015592410976113302

20130214,Georgia Tech Yellow Jackets,(Favorite),53,-4.0,-3.5,-160.0,0.625,0.6397851957066638,0.03965094302332872
,Clemson Tigers,(Underdog),56,3.5,4.0,170.0,1.7,0.36021480429333613,-0.027420028407992403

20130214,Minnesota Golden Gophers,(Favorite),58,-6.0,-5.0,-240.0,0.4166666666666667,0.6873933707234953,-0.026192724808381695
,Wisconsin Badgers,(Underdog),53,5.0,6.0,230.0,2.3,0.3126066292765047,0.031601876612465274

20130214,Ohio State Buckeyes,(Favorite),69,-17.0,-16.5,-3000.0,0.03333333333333333,0.9527684875510962,-0.015472562863867237
,Northwestern Wildcats,(Underdog),59,16.5,17.0,1400.0,14.0,0.04723151244890375,-0.29152731326644377

20130214,South Carolina Gamecocks,(Favorite),46,-1.5,-1.0,-115.0,0.8695652173913043,0.5119967831000056,-0.04278862289998947
,Louisiana State Tigers,(Underdog),64,1.0,1.5,100.0,1.0,0.4880032168999944,-0.02399356620001125

20130214,Iowa Hawkeyes,(Favorite),74,-8.0,-8.0,-380.0,0.2631578947368421,0.7672872340425532,-0.030795072788353917
,Penn State Nittany Lions,(Underdog),72,8.0,8.0,320.0,3.2,0.2327127659574468,-0.022606382978723305

20130214,California Golden Bears,(Favorite),76,-2.0,-2.0,-130.0,0.7692307692307693,0.5589482612383376,-0.011091537809094942
,UCLA Bruins,(Underdog),63,2.0,2.0,125.0,1.25,0.4410517387616624,-0.007633587786259555

20130216,Florida State Seminoles,(Favorite),69,-6.0,-3.0,-240.0,0.4166666666666667,0.6735949766748065,-0.0457404497106908
,Boston College Eagles,(Underdog),66,3.0,6.0,220.0,2.2,0.3264050233251934,0.04449607464061889

20130216,North Carolina Tar Heels,(Favorite),93,-5.5,-4.0,-200.0,0.5,0.6648563160167381,-0.0027155259748928295
,Virginia Cavaliers,(Underdog),81,4.0,5.5,180.0,1.8,0.3351436839832618,-0.06159768484686701

20130216,Florida Gators,(Favorite),83,-18.5,-16.5,-2500.0,0.04,0.9625614556078862,0.0010639138322016475
,Auburn Tigers,(Underdog),52,16.5,18.5,1400.0,14.0,0.0374385443921137,-0.4384218341182945

20130216,Oklahoma State Cowboys,(Favorite),84,-9.0,-9.0,-430.0,0.23255813953488372,0.8107302533532041,-0.0007278272623297832
,Oklahoma Sooners,(Underdog),79,9.0,9.0,400.0,4.0,0.18926974664679583,-0.05365126676602083

20130216,Iowa State Cyclones,(Favorite),87,-18.5,-17.5,-3000.0,0.03333333333333333,0.9709374988327487,0.0033020821271736722
,Texas Christian Horned Frogs,(Underdog),53,17.5,18.5,1500.0,15.0,0.02906250116725122,-0.5349999813239805

20130216,Alabama Crimson Tide,(Favorite),68,-12.0,-12.0,-800.0,0.125,0.8809523809523809,-0.008928571428571452
,South Carolina Gamecocks,(Underdog),58,12.0,12.0,600.0,6.0,0.11904761904761904,-0.16666666666666674

20130216,Stanford Cardinal,(Favorite),80,-4.5,-4.0,-200.0,0.5,0.654292766057472,-0.018560850913792004
,UCLA Bruins,(Underdog),88,4.0,4.5,180.0,1.8,0.34570723394252806,-0.032019744960921526

20130216,West Virginia Mountaineers,(Favorite),66,-14.0,-14.0,-1300.0,0.07692307692307693,0.9211267605633803,-0.008017334777898164
,Texas Tech Red Raiders,(Underdog),64,14.0,14.0,900.0,9.0,0.07887323943661972,-0.21126760563380276

20130216,Louisiana State Tigers,(Favorite),80,-12.0,-7.0,-800.0,0.125,0.8423126707895873,-0.05239824536171432
,Mississippi State Bulldogs,(Underdog),68,7.0,12.0,650.0,6.5,0.15768732921041279,0.18265496907809586

20130216,Kansas State Wildcats,(Favorite),81,-5.0,-4.5,-180.0,0.5555555555555556,0.666059866059866,0.03609312498201378
,Baylor Bears,(Underdog),61,4.5,5.0,180.0,1.8,0.33394013394013394,-0.06496762496762487

20130216,Oregon Ducks,(Favorite),79,-5.0,-3.5,-170.0,0.5882352941176471,0.6482718986079536,0.02960830955380872
,Washington State Cougars,(Underdog),77,3.5,5.0,180.0,1.8,0.3517281013920463,-0.015161316102270339

20130216,Michigan State Spartans,(Favorite),73,-9.5,-9.5,-550.0,0.18181818181818182,0.8548951048951049,0.010330578512396688
,Nebraska Cornhuskers,(Underdog),64,9.5,9.5,375.0,3.75,0.1451048951048951,-0.3107517482517482

20130216,Colorado Buffaloes,(Favorite),62,-7.5,-7.0,-320.0,0.3125,0.7568319275628502,-0.006658095073759085
,Arizona State Sun Devils,(Underdog),63,7.0,7.5,290.0,2.9,0.24316807243714977,-0.051644517495115894

20130216,Kansas Jayhawks,(Favorite),73,-14.5,-13.5,-1100.0,0.09090909090909091,0.9349207359417459,0.0199135301182682
,Texas Longhorns,(Underdog),47,13.5,14.5,900.0,9.0,0.06507926405825419,-0.3492073594174582

20130217,Wisconsin Badgers,(Favorite),71,-3.5,-3.5,-160.0,0.625,0.6312323612417686,0.02575258701787403
,Ohio State Buckeyes,(Underdog),49,3.5,3.5,165.0,1.65,0.36876763875823143,-0.02276575729068664

20130217,Minnesota Golden Gophers,(Favorite),51,-2.0,1.0,-120.0,0.8333333333333334,0.5183908673244904,-0.049616743238434347
,Iowa Hawkeyes,(Underdog),72,-1.0,2.0,110.0,1.1,0.48160913267550964,0.011379178618570296

20130217,Illinois Fighting Illini,(Favorite),62,-3.5,-3.0,-160.0,0.625,0.6285626091923129,0.02141423993750846
,Northwestern Wildcats,(Underdog),41,3.0,3.5,155.0,1.55,0.3714373908076871,-0.05283465344039784

20130217,California Golden Bears,(Favorite),76,-8.0,-8.0,-360.0,0.2777777777777778,0.7671957671957672,-0.019694297472075212
,Southern California Trojans,(Underdog),68,8.0,8.0,320.0,3.2,0.2328042328042328,-0.022222222222222254

20130218,Pittsburgh Panthers,(Favorite),42,-11.0,-10.0,-550.0,0.18181818181818182,0.8510950754122404,0.005839634578102271
,Notre Dame Fighting Irish,(Underdog),51,10.0,11.0,550.0,5.5,0.1489049245877596,-0.03211799017956252

20130218,Kansas State Wildcats,(Favorite),71,-11.5,-10.5,-650.0,0.15384615384615385,0.8610849056603773,-0.006440493468795383
,West Virginia Mountaineers,(Underdog),61,10.5,11.5,500.0,5.0,0.13891509433962262,-0.16650943396226414

20130219,Tennessee Volunteers,(Favorite),82,-7.5,-7.0,-320.0,0.3125,0.7567811830137303,-0.006724697294478943
,Louisiana State Tigers,(Underdog),72,7.0,7.5,300.0,3.0,0.24321881698626963,-0.027124732054921497

20130219,Michigan State Spartans,(Favorite),68,-2.0,-1.0,-120.0,0.8333333333333334,0.5275471699515227,-0.032830188422208306
,Indiana Hoosiers,(Underdog),72,1.0,2.0,115.0,1.15,0.4724528300484773,0.015773584604226287

20130219,North Carolina State Wolfpack,(Favorite),84,-8.0,-7.5,-350.0,0.2857142857142857,0.767362102561367,-0.013391582421099502
,Florida State Seminoles,(Underdog),66,7.5,8.0,325.0,3.25,0.23263789743863295,-0.011288935885809925

20130219,Texas Longhorns,(Favorite),68,-5.5,-5.5,-240.0,0.4166666666666667,0.6830543933054394,-0.03233960948396086
