Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20121215,Oregon Ducks,(Favorite),60,-14.5,-13.5,-1200.0,0.08333333333333333,0.9274763474965445,0.004766043121256544
,Nebraska Cornhuskers,(Underdog),38,13.5,14.5,900.0,9.0,0.07252365250345544,-0.27476347496544573

20130108,Duke Blue Devils,(Favorite),68,-16.0,-15.5,-2000.0,0.05,0.9699552059434065,0.018452966240576775
,Clemson Tigers,(Underdog),40,15.5,16.0,0.0,0.0,0.030044794056593466,-0.9699552059434066

20130116,Maryland Terrapins,(Favorite),51,-2.5,-2.0,-130.0,0.7692307692307693,0.5729314325960398,0.013647919208378212
,North Carolina State Wolfpack,(Underdog),50,2.0,2.5,125.0,1.25,0.42706856740396015,-0.03909572334108968

20130116,Miami-Florida Hurricanes,(Favorite),60,-6.5,-6.0,-260.0,0.38461538461538464,0.7296157280794776,0.01023716195619978
,Boston College Eagles,(Underdog),59,6.0,6.5,240.0,2.4,0.2703842719205224,-0.08069347547022387

20130116,Louisiana State Tigers,(Favorite),73,-10.0,-10.0,-550.0,0.18181818181818182,0.8371681415929203,-0.010619469026548728
,South Carolina Gamecocks,(Underdog),82,10.0,10.0,425.0,4.25,0.16283185840707964,-0.14513274336283188

20130116,Missouri Tigers,(Favorite),79,-14.0,-13.0,-1000.0,0.1,0.9120010990003266,0.003201208900359215
,Georgia Bulldogs,(Underdog),62,13.0,14.0,800.0,8.0,0.08799890099967354,-0.2080098910029381

20130116,Arkansas Razorbacks,(Favorite),88,-12.0,-12.0,-800.0,0.125,0.88558352402746,-0.0037185354691075118
,Auburn Tigers,(Underdog),80,12.0,12.0,600.0,6.0,0.11441647597254005,-0.1990846681922197

20130116,Alabama Crimson Tide,(Favorite),75,-4.0,-3.0,-155.0,0.6451612903225806,0.6400056753180323,0.05291256261998867
