Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.25,0.016,6.375711079424651,564
1,0.2,0.033,1.807578156482887,522
2,0.01,0.016,7.2564339954444,655
3,0.01,0.016,1.6464495779589836,646
4,0.25,0.054,6.407751603749174,377
5,0.3,0.001,5.007475327018323,675
6,0.25,0.0,13.272570624554222,678
7,0.2,0.019,3.0801661197474117,588
8,0.3,0.026,3.407815420191097,499
9,0.25,0.013,0.9314691409836796,574
10,0.25,0.054,8.756372530650708,369
11,0.02,0.065,5.392035946637549,649
12,0.01,0.016,6.152732748969984,669
13,0.29,0.048,14.750798102200438,357
14,0.19,0.024,6.799195009339874,538
15,0.29,0.077,17.15694071950742,238
16,0.27,0.001,4.213100220075424,654
17,0.28,0.04,5.031692750908583,415
18,0.29,0.001,4.480717768411041,652
19,0.26,0.001,3.9031744306579776,652
20,0.25,0.077,30.731276323800717,302
21,0.29,0.006,2.1571494367780377,606
22,0.29,0.001,15.329001735502997,661
23,0.28,0.0,9.373977866002376,682
24,0.16,0.001,3.3947404765643485,667
25,0.27,0.0,6.438848938646798,662
26,0.29,0.0,14.293149766601415,699
27,0.29,0.007,8.922285608380594,600
28,0.25,0.076,9.367505041464911,275
29,0.25,0.0,4.245522491689752,649
30,0.25,0.025,12.892546442984564,494
31,0.29,0.006,5.337534546634213,638
32,0.28,0.0,5.651334717884924,662
33,0.25,0.008,8.254766902776867,614
34,0.2,0.035,6.1550444401207764,497
35,0.25,0.053,9.056341506412329,367
36,0.26,0.024,7.956947534932647,534
37,0.26,0.016,11.063026957045548,562
38,0.26,0.033,13.547374197866832,439
39,0.18,0.035,8.69655865209068,523
40,0.29,0.001,8.747723670416239,665
41,0.2,0.035,8.239156037200294,487
42,0.29,0.077,18.225041295339032,261
43,0.25,0.009,7.8946894611277365,611
44,0.01,0.016,5.084348675566861,651
45,0.3,0.017,6.145675553376501,547
46,0.29,0.012,11.331460118944776,592
47,0.25,0.008,14.501994623734147,613
48,0.27,0.011,10.06047269486921,567
49,0.24,0.066,6.936900761238711,301
50,0.29,0.024,7.221935199387374,493
51,0.25,0.016,6.00157627911257,572
52,0.28,0.005,8.072814620431615,634
53,0.01,0.016,1.8585069249440496,665
54,0.25,0.0,5.543977978468924,657
55,0.2,0.035,3.188029104846721,479
56,0.28,0.001,5.777784532071473,637
57,0.29,0.019,8.695826035084952,523
58,0.29,0.001,4.02965476222073,637
59,0.25,0.001,8.391825276814686,643
60,0.3,0.024,19.779493067751076,490
61,0.03,0.065,5.046890727686902,655
62,0.26,0.016,9.816653080257012,564
63,0.29,0.024,7.4631533165479045,516
64,0.2,0.07,4.538874281041625,398
65,0.3,0.013,11.389940270945571,577
66,0.28,0.015,6.384832528054828,536
67,0.25,0.009,4.3297766123121,594
68,0.25,0.016,6.889269143078372,551
69,0.3,0.001,10.672690864091647,660
70,0.3,0.016,9.564761882283683,562
71,0.03,0.016,3.988464564578294,682
72,0.3,0.013,9.4867246667895,568
73,0.28,0.013,7.9185327906387935,586
74,0.01,0.016,4.076270637952865,641
75,0.3,0.019,4.276940429938652,525
76,0.28,0.004,6.964870295631615,637
77,0.29,0.052,13.373714888055046,330
78,0.2,0.019,8.316278727216217,568
79,0.25,0.001,6.61564818816968,658
80,0.01,0.065,4.13856230000556,662
81,0.29,0.075,15.913562192842493,264
82,0.29,0.077,2.5091542739361583,277
83,0.26,0.024,16.12452038359683,511
84,0.3,0.0,6.941204431695912,678
85,0.25,0.007,6.95229430719739,619
86,0.25,0.019,6.351164112726784,586
87,0.28,0.001,12.215749022362314,645
88,0.25,0.022,13.889733212128041,535
89,0.29,0.001,9.177193821588686,669
90,0.26,0.001,4.203880353166555,651
91,0.29,0.047,6.835087815896706,365
92,0.01,0.065,4.037700231052142,661
93,0.14,0.04,3.4704887321704967,527
94,0.25,0.005,10.18137023775718,656
95,0.2,0.019,14.385089410719887,569
96,0.26,0.039,10.212212859646375,435
97,0.27,0.011,9.450416310575047,615
98,0.25,0.001,7.220275965671514,675
99,0.01,0.016,4.358619615674994,660
100,0.01,0.016,1.9477547847640646,666
101,0.25,0.077,11.335867925963868,300
102,0.2,0.022,6.621987242276604,538
103,0.2,0.033,10.42351985571382,521
104,0.29,0.047,9.01937852194812,341
105,0.25,0.077,13.995410908830733,325
106,0.2,0.019,12.089239166971835,576
107,0.26,0.004,15.318321627094342,622
108,0.28,0.012,10.428938206006597,575
109,0.25,0.0,4.123414415588741,650
110,0.29,0.005,15.440697550776921,640
111,0.25,0.0,10.37220272817654,653
112,0.29,0.024,10.109590705311147,496
113,0.2,0.033,14.35777248640226,476
114,0.25,0.016,14.130220511935423,560
115,0.26,0.0,15.332266478574152,667
116,0.2,0.019,3.399564764831923,572
117,0.29,0.001,6.721455125716434,675
118,0.25,0.0,7.871165657802674,676
119,0.27,0.039,13.425997349355631,444
120,0.25,0.077,8.367292066116773,315
121,0.03,0.008,2.834678105676232,663
122,0.26,0.0,0.02685891202150338,675
123,0.29,0.001,9.001323816865169,670
124,0.25,0.013,7.019825030701335,585
125,0.28,0.024,10.116634658048682,470
126,0.29,0.001,13.826378391288252,659
127,0.25,0.019,11.181078827509563,546
128,0.25,0.012,8.042808920536594,594
129,0.26,0.017,4.665696238561148,587
130,0.26,0.014,6.007383035154605,603
131,0.28,0.009,10.918666682792887,602
132,0.27,0.012,5.332821509696832,589
133,0.25,0.011,11.06137692732921,603
134,0.03,0.023,5.383957755014554,658
135,0.28,0.006,11.089912909939503,610
136,0.29,0.004,4.331305616205995,643
137,0.25,0.001,5.916211870987975,651
138,0.29,0.026,6.120745751224547,473
139,0.25,0.015,12.933590849539902,571
140,0.2,0.022,5.685532770007353,566
141,0.25,0.077,5.642573918969136,313
142,0.01,0.008,3.3944947705037976,673
143,0.28,0.001,12.5501936237116,619
144,0.25,0.017,4.23183007418106,569
145,0.22,0.001,4.629658018649197,622
146,0.27,0.019,7.600595135337129,521
147,0.25,0.001,6.673056625761046,669
148,0.26,0.049,17.610792921426103,363
149,0.29,0.0,3.6886077394170056,666
150,0.01,0.016,5.392817264192291,650
151,0.22,0.015,4.7248184863999505,560
152,0.29,0.016,8.162395344578583,545
153,0.29,0.001,11.732337514750478,628
154,0.26,0.013,6.123388525214729,596
155,0.25,0.0,5.57387562793447,665
156,0.29,0.039,15.042412316345818,395
157,0.25,0.0,5.498285076138925,656
158,0.27,0.001,11.933993604383229,629
159,0.17,0.026,6.72300432069637,573
160,0.29,0.001,4.193120631115295,673
161,0.25,0.001,8.710117076064071,683
162,0.29,0.016,4.369694618904997,570
163,0.14,0.019,0.3960621182085227,588
164,0.29,0.018,18.203732365876018,542
165,0.28,0.024,3.77840232328341,510
166,0.25,0.008,2.2051185014803085,622
167,0.26,0.016,10.844594037900405,543
168,0.28,0.0,7.662092213469231,662
169,0.27,0.015,10.216605368681668,573
170,0.26,0.0,8.71480727841784,691
171,0.25,0.076,3.6063625943393816,291
