Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.27,0.001,8.365522110211241,658
1,0.41,0.033,14.744922041942496,368
2,0.29,0.01,15.338361768047776,598
3,0.29,0.011,16.32918080782679,584
4,0.46,0.013,14.08759291246516,486
5,0.27,0.008,16.40024723204862,621
6,0.28,0.01,7.964291763925425,585
7,0.25,0.011,9.883733216213953,582
8,0.29,0.012,7.095053013709483,589
9,0.24,0.033,18.367808297035467,474
10,0.25,0.012,10.033414400904437,560
11,0.29,0.01,11.81648209539074,612
12,0.48,0.075,66.26360238977539,119
13,0.25,0.001,8.708685268613358,664
14,0.25,0.01,12.27727834547972,609
15,0.25,0.013,5.326380288673724,574
16,0.24,0.002,4.6974822950972595,638
17,0.22,0.015,6.515629566257856,609
18,0.46,0.033,9.02780073768291,345
19,0.25,0.051,13.261049668505667,403
20,0.29,0.015,19.268376294034876,585
21,0.25,0.033,10.421028041440913,464
22,0.28,0.011,11.94873968441544,601
23,0.01,0.0,5.904123860744801,641
24,0.25,0.001,8.638827518025396,661
25,0.25,0.013,13.45396231775653,572
26,0.25,0.012,15.594390122904803,588
27,0.25,0.001,15.317620679746364,679
28,0.41,0.041,18.678856274071606,311
29,0.14,0.001,4.632492019364917,654
30,0.24,0.001,10.149160334507425,649
31,0.24,0.01,4.2742320111260135,561
32,0.25,0.034,16.064847464895955,473
33,0.25,0.013,5.642180044763266,596
34,0.29,0.001,23.873595608278265,650
35,0.25,0.013,9.438437007519601,593
36,0.21,0.01,7.505426814897337,612
37,0.27,0.01,13.67720809538254,607
38,0.24,0.011,6.85368825880842,598
39,0.01,0.062,5.329884143010437,638
40,0.25,0.011,13.925372678047923,602
41,0.46,0.013,16.45487877590709,482
42,0.25,0.001,12.03551738854373,636
43,0.25,0.002,16.35072593404612,653
44,0.25,0.013,15.675542188304448,578
45,0.25,0.001,3.3818617738263725,647
46,0.29,0.01,19.028702607398095,592
47,0.41,0.034,15.156429897150458,355
48,0.22,0.01,13.601441588420066,597
49,0.23,0.011,10.90797305014657,606
50,0.29,0.007,5.935068445594703,617
51,0.24,0.011,3.945075184065187,593
52,0.29,0.011,13.706635381506787,596
53,0.25,0.011,22.65462190216513,605
54,0.25,0.011,9.59253243878214,591
55,0.24,0.001,13.720675501282114,649
56,0.25,0.002,15.981388353296452,634
57,0.22,0.012,6.895315706737856,591
58,0.25,0.012,17.58248416535226,596
59,0.01,0.008,4.308017238661711,673
60,0.25,0.011,12.342549069100706,561
61,0.46,0.041,8.342881156899908,292
62,0.46,0.016,14.275098536089963,473
63,0.22,0.012,4.725651426758544,594
64,0.24,0.005,5.939135099077246,648
65,0.21,0.012,10.556844273917436,586
66,0.25,0.015,15.128360766234058,582
67,0.29,0.034,10.328387070566245,479
68,0.41,0.012,17.24780075883931,553
69,0.24,0.033,13.684877919057769,472
70,0.24,0.01,10.543448296492599,616
71,0.41,0.041,16.601439341446465,320
72,0.28,0.013,11.980363122177698,585
73,0.25,0.01,10.575146953822458,612
74,0.24,0.005,8.626460437988147,654
75,0.01,0.039,4.827775180404318,662
76,0.25,0.011,14.78238820195501,611
77,0.25,0.012,8.050180474605932,585
78,0.25,0.012,7.150080572015731,596
79,0.29,0.016,8.557496961699863,559
80,0.29,0.011,5.421580270458766,587
81,0.24,0.01,10.755046201987609,605
82,0.41,0.01,8.163916054086442,567
83,0.25,0.01,22.234316843190737,573
84,0.29,0.001,11.970128410389169,689
85,0.25,0.015,7.83856774203625,586
86,0.25,0.013,9.680360107664272,595
87,0.46,0.076,25.93084997816432,144
88,0.29,0.015,7.516701886980837,586
89,0.46,0.068,23.54642520634342,141
90,0.24,0.001,6.052757356528813,661
91,0.46,0.072,23.17468295593858,124
92,0.25,0.012,14.884472586984595,594
93,0.24,0.011,9.450424262910126,597
94,0.29,0.001,13.540876697033779,658
95,0.25,0.011,23.432013363743916,601
96,0.27,0.033,12.165411258055864,482
97,0.25,0.076,12.941299481280405,316
98,0.2,0.075,4.634964590352224,376
99,0.46,0.049,14.971682992878007,232
100,0.25,0.015,8.780104877573244,590
101,0.29,0.033,8.048470144624245,442
102,0.25,0.001,11.632109030948373,631
103,0.29,0.01,22.98674691576494,605
104,0.29,0.015,11.146102109317003,573
105,0.25,0.01,15.49002840665976,601
106,0.15,0.034,9.768057828242522,548
107,0.01,0.008,5.560497790805898,653
108,0.02,0.008,4.263748230130395,640
109,0.3,0.0,12.904853801920128,660
110,0.23,0.013,11.277567518361142,573
111,0.24,0.001,23.588999068231516,658
112,0.25,0.063,4.347182507630093,335
113,0.24,0.013,12.015601207453134,599
114,0.03,0.017,3.6536173585360308,648
115,0.01,0.057,4.080839177614984,623
116,0.27,0.005,15.426898712768997,640
117,0.29,0.011,15.065657219694417,618
118,0.41,0.013,17.41437634930123,537
119,0.27,0.012,7.622216224751349,579
120,0.41,0.052,9.706463116758423,260
121,0.23,0.015,9.513759816835973,573
122,0.24,0.076,8.50882165448855,354
123,0.27,0.015,5.437002063812842,579
124,0.25,0.012,12.192788197945914,632
125,0.28,0.001,13.37246198316121,635
126,0.25,0.001,8.752931067938057,635
127,0.41,0.0,14.083595753822973,649
128,0.23,0.013,8.105739631574176,589
129,0.24,0.011,17.51462698610937,606
130,0.25,0.01,8.851472696568589,599
131,0.04,0.009,5.688599426436633,666
132,0.25,0.011,11.335704535306968,613
133,0.41,0.013,10.246941664482028,509
134,0.41,0.001,11.151381582706836,678
135,0.25,0.012,12.644917734597842,580
136,0.41,0.017,6.719556820411155,510
137,0.23,0.01,16.861098210212695,599
138,0.25,0.011,13.08226730444764,604
139,0.28,0.01,15.507214473371956,613
140,0.21,0.001,7.011055371776916,651
141,0.41,0.011,17.49400007336453,517
142,0.25,0.01,13.012720388883608,627
143,0.29,0.008,11.32957679537632,617
144,0.25,0.034,17.46504347151175,491
145,0.29,0.013,9.109272834152735,588
146,0.25,0.011,15.770953879002317,594
147,0.25,0.005,8.972481719687803,661
148,0.25,0.013,8.980181686329107,579
149,0.46,0.072,35.60371844537562,136
150,0.24,0.001,5.259742095021744,653
151,0.24,0.001,14.163712528687178,660
152,0.01,0.008,4.1527394475782975,669
153,0.29,0.034,9.057826911647734,403
154,0.41,0.012,21.369797054219685,534
155,0.24,0.01,6.684104885542998,616
156,0.25,0.005,8.405863255505801,635
157,0.24,0.001,8.971536585732022,660
158,0.25,0.013,12.625153058822274,562
159,0.24,0.005,6.8574715706803815,657
160,0.25,0.013,8.420749222175374,579
161,0.25,0.012,15.97753520429093,630
162,0.41,0.001,17.78015880530914,667
163,0.25,0.01,14.460297337333545,591
164,0.24,0.001,12.445160581660351,674
165,0.41,0.01,13.276843561076939,568
166,0.25,0.001,6.346206310194656,669
167,0.25,0.001,9.03015044056989,657
168,0.25,0.001,9.08136081292712,652
169,0.44,0.034,12.012937659893568,334
170,0.25,0.01,13.429331969441172,598
171,0.29,0.01,11.25705156078466,594
172,0.25,0.01,7.955994296780469,596
173,0.28,0.01,12.105654893731117,608
174,0.25,0.01,16.27118774840691,592
175,0.25,0.01,12.623150263533441,608
176,0.41,0.05,13.169177760526162,264
177,0.28,0.001,14.148734754890441,631
178,0.29,0.01,16.808252612391957,616
179,0.25,0.01,9.622828079443716,604
180,0.41,0.01,13.962877233604704,556
181,0.27,0.011,19.168079123294344,567
182,0.25,0.001,15.253640111113532,659
183,0.25,0.001,14.132652068802907,661
184,0.25,0.06,12.978909824609689,364
185,0.46,0.052,21.460934214027372,205
186,0.24,0.001,9.066954916837835,642
187,0.28,0.018,11.284967682135024,573
188,0.25,0.076,15.356985841082682,310
189,0.2,0.001,2.9008266780200875,640
190,0.25,0.01,12.49411881741921,606
191,0.25,0.005,9.778921087553151,661
192,0.27,0.012,8.995194172337685,582
193,0.41,0.013,17.88153823313542,535
194,0.21,0.001,11.14929736324652,652
195,0.24,0.001,11.736319293090894,649
196,0.25,0.01,10.717929252786323,630
197,0.21,0.013,5.689884518712173,605
198,0.25,0.012,11.100025967865575,578
199,0.25,0.013,9.417905711451295,593
200,0.25,0.033,5.999087419274281,496
201,0.03,0.009,3.871163942516949,658
202,0.29,0.01,20.763187364885315,602
203,0.44,0.01,12.423985382264572,563
204,0.29,0.02,6.093977539579623,476
205,0.27,0.034,7.852783621756933,459
206,0.24,0.011,7.649087190814176,624
207,0.25,0.033,8.932405097019114,473
208,0.21,0.005,10.098306699511108,623
209,0.01,0.017,6.85156627432681,682
210,0.24,0.005,7.490275005082701,646
211,0.41,0.041,14.493879393085473,333
212,0.25,0.01,9.824543244494668,609
213,0.02,0.017,2.759426321991583,655
214,0.24,0.005,7.04208578804722,646
215,0.21,0.013,10.19155953929117,641
216,0.24,0.06,8.493439671906042,343
217,0.02,0.017,4.9014560166741585,680
218,0.28,0.02,11.254323246996492,515
219,0.24,0.012,13.29333382091262,598
220,0.01,0.054,4.988779407899212,658
221,0.27,0.011,24.93170207183962,584
222,0.02,0.062,4.702679626821253,646
223,0.22,0.011,8.190472679770872,620
224,0.27,0.011,12.806584117998721,573
225,0.46,0.052,5.675377520179045,230
226,0.25,0.05,6.278140081817606,412
227,0.25,0.01,17.678489541070945,610
228,0.25,0.012,7.21166429319916,585
229,0.24,0.001,15.991443967117943,645
230,0.28,0.012,17.008404071048382,583
231,0.22,0.011,3.9011409253853833,616
