Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20090903,North Carolina State Wolfpack,(Favorite), 3 ,-5.0,-4.0,-170.0,0.5882352941176471,0.6381131429581043,0.013473815286400959
,South Carolina Gamecocks,(Underdog), 7 ,4.0,5.0,190.0,1.9,0.3618868570418958,0.04947188542149783

20090919,Clemson Tigers,(Favorite), 25 ,-8.5,-8.0,-300.0,0.3333333333333333,0.727845001179181,-0.029539998427758618
,Boston College Eagles,(Underdog), 7 ,8.0,8.5,220.0,2.2,0.2721549988208189,-0.12910400377337938

20090924,Mississippi Rebels,(Favorite), 10 ,-4.5,-4.0,-170.0,0.5882352941176471,0.6382831230474899,0.01374378366366047
,South Carolina Gamecocks,(Underdog), 16 ,4.0,4.5,175.0,1.75,0.3617168769525101,-0.005278588380597249

20091001,West Virginia Mountaineers,(Favorite), 35 ,-17.0,-16.5,-750.0,0.13333333333333333,0.8902775810791672,0.00898125855638951
,Colorado Buffaloes,(Underdog), 24 ,16.5,17.0,650.0,6.5,0.10972241892083273,-0.17708185809375443

20091008,Nebraska Cornhuskers,(Favorite), 27 ,-4.5,-4.0,-165.0,0.6060606060606061,0.6363160522943452,0.02196214459394835
,Missouri Tigers,(Underdog), 12 ,4.0,4.5,165.0,1.65,0.3636839477056548,-0.03623753858001477

20091010,Arizona State Sun Devils,(Favorite), 27 ,-20.5,-20.0,-1300.0,0.07692307692307693,0.9362926829268293,0.008315196998123886
,Washington State Cougars,(Underdog), 14 ,20.0,20.5,900.0,9.0,0.06370731707317073,-0.36292682926829256

20091010,South Carolina Gamecocks,(Favorite), 28 ,-9.0,-8.0,-360.0,0.2777777777777778,0.7336378675088353,-0.06257383596093266
,Kentucky Wildcats,(Underdog), 26 ,8.0,9.0,300.0,3.0,0.26636213249116475,0.065448529964659

20091016,Pittsburgh Panthers,(Favorite), 24 ,-6.5,-6.0,-240.0,0.4166666666666667,0.6785222243869855,-0.03876018211843718
,Rutgers Scarlet Knights,(Underdog), 17 ,6.0,6.5,220.0,2.2,0.3214777756130146,0.0287288819616468

20091017,Texas Longhorns,(Favorite), 16 ,-3.0,-3.0,-150.0,0.6666666666666666,0.545335085413929,-0.09110819097678491
,Oklahoma Sooners,(Underdog), 13 ,3.0,3.0,130.0,1.3,0.45466491458607095,0.04572930354796323

20091017,Boston College Eagles,(Favorite), 52 ,-2.5,-2.0,-130.0,0.7692307692307693,0.5442054500918555,-0.037174972914409465
,North Carolina State Wolfpack,(Underdog), 20 ,2.0,2.5,120.0,1.2,0.4557945499081445,0.002748009797917894

20091017,Ohio State Buckeyes,(Favorite), 18 ,-13.5,-13.5,-500.0,0.2,0.8263665594855305,-0.008360128617363377
,Purdue Boilermakers,(Underdog), 26 ,13.5,13.5,400.0,4.0,0.17363344051446947,-0.13183279742765264

20091017,Michigan State Spartans,(Favorite), 24 ,-14.0,-14.0,-550.0,0.18181818181818182,0.8532110091743119,0.008340283569641366
,Northwestern Wildcats,(Underdog), 14 ,14.0,14.0,425.0,4.25,0.14678899082568808,-0.22935779816513757

20091017,Wisconsin Badgers,(Favorite), 10 ,-2.0,-2.0,-130.0,0.7692307692307693,0.5539906103286385,-0.019862766341639526
,Iowa Hawkeyes,(Underdog), 20 ,2.0,2.0,120.0,1.2,0.4460093896713615,-0.018779342723004744

20091017,Virginia Cavaliers,(Favorite), 20 ,-4.0,-3.5,-160.0,0.625,0.6172462622670092,0.0030251761838899216
,Maryland Terrapins,(Underdog), 9 ,3.5,4.0,155.0,1.55,0.3827537377329908,-0.023977968780873438

20091017,Clemson Tigers,(Favorite), 38 ,-8.0,-8.0,-280.0,0.35714285714285715,0.7351485148514851,-0.0022984441301273084
,Wake Forest Demon Deacons,(Underdog), 3 ,8.0,8.0,240.0,2.4,0.26485148514851486,-0.09950495049504948

20091017,Iowa State Cyclones,(Favorite), 24 ,-2.0,-1.0,-120.0,0.8333333333333334,0.5151936723877005,-0.05547826728921568
,Baylor Bears,(Underdog), 10 ,1.0,2.0,110.0,1.1,0.4848063276122995,0.0180932879858291

20091017,Auburn Tigers,(Favorite), 14 ,-14.0,-13.5,-550.0,0.18181818181818182,0.8397887843299212,-0.0075223457919113
,Kentucky Wildcats,(Underdog), 21 ,13.5,14.0,450.0,4.5,0.1602112156700788,-0.11883831381456667

20091017,Penn State Nittany Lions,(Favorite), 20 ,-17.5,-17.0,-800.0,0.125,0.878891864747238,-0.011246652159357232
,Minnesota Golden Gophers,(Underdog), 0 ,17.0,17.5,700.0,7.0,0.12110813525276197,-0.031134917977904242

20091017,Alabama Crimson Tide,(Favorite), 20 ,-18.5,-17.5,-1200.0,0.08333333333333333,0.9021211257010834,-0.022702113823826336
,South Carolina Gamecocks,(Underdog), 6 ,17.5,18.5,850.0,8.5,0.09787887429891672,-0.07015069416029118

20091017,Southern California Trojans,(Favorite), 34 ,-10.5,-9.0,-330.0,0.30303030303030304,0.7485759644417085,-0.024582834212319243
,Notre Dame Fighting Irish,(Underdog), 27 ,9.0,10.5,325.0,3.25,0.25142403555829157,0.06855215112273916

20091017,California Golden Bears,(Favorite), 45 ,-4.0,-3.5,-165.0,0.6060606060606061,0.6172462622670092,-0.008665093934803414
,UCLA Bruins,(Underdog), 26 ,3.5,4.0,150.0,1.5,0.3827537377329908,-0.043115655667522956

20091017,Nebraska Cornhuskers,(Favorite), 10 ,-11.0,-10.0,-360.0,0.2777777777777778,0.7626982844427156,-0.02544108098986339
,Texas Tech Red Raiders,(Underdog), 31 ,10.0,11.0,375.0,3.75,0.2373017155572844,0.12718314889710092

20091017,Virginia Tech Hokies,(Favorite), 23 ,-3.5,-3.0,-160.0,0.625,0.5766357966752185,-0.06296683040276996
,Georgia Tech Yellow Jackets,(Underdog), 28 ,3.0,3.5,150.0,1.5,0.42336420332478153,0.058410508311953824

20091017,Oklahoma State Cowboys,(Favorite), 33 ,-7.0,-6.5,-260.0,0.38461538461538464,0.6978426681058144,-0.03375630569964155
