Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20090903,North Carolina State Wolfpack,(Favorite), 3 ,-5.0,-4.0,-170.0,0.5882352941176471,0.6418244761268018,0.019368285613155845
,South Carolina Gamecocks,(Underdog), 7 ,4.0,5.0,190.0,1.9,0.3581755238731983,0.03870901923227499

20090919,Clemson Tigers,(Favorite), 25 ,-8.5,-8.0,-300.0,0.3333333333333333,0.727845001179181,-0.029539998427758618
,Boston College Eagles,(Underdog), 7 ,8.0,8.5,220.0,2.2,0.2721549988208189,-0.12910400377337938

20090924,Mississippi Rebels,(Favorite), 10 ,-4.5,-4.0,-170.0,0.5882352941176471,0.6428885151126209,0.021058229884750868
,South Carolina Gamecocks,(Underdog), 16 ,4.0,4.5,175.0,1.75,0.3571114848873791,-0.017943416559707437

20091001,West Virginia Mountaineers,(Favorite), 35 ,-17.0,-16.5,-750.0,0.13333333333333333,0.8901309001153216,0.008815020130697793
,Colorado Buffaloes,(Underdog), 24 ,16.5,17.0,650.0,6.5,0.10986909988467841,-0.17598175086491186

20091008,Nebraska Cornhuskers,(Favorite), 27 ,-4.5,-4.0,-165.0,0.6060606060606061,0.6266369056571989,0.006416848479743664
,Missouri Tigers,(Underdog), 12 ,4.0,4.5,165.0,1.65,0.3733630943428011,-0.010587799991576996

20091010,Arizona State Sun Devils,(Favorite), 27 ,-20.5,-20.0,-1300.0,0.07692307692307693,0.9363902439024391,0.008420262664165165
,Washington State Cougars,(Underdog), 14 ,20.0,20.5,900.0,9.0,0.06360975609756098,-0.3639024390243901

20091010,South Carolina Gamecocks,(Favorite), 28 ,-9.0,-8.0,-360.0,0.2777777777777778,0.7336378675088353,-0.06257383596093266
,Kentucky Wildcats,(Underdog), 26 ,8.0,9.0,300.0,3.0,0.26636213249116475,0.065448529964659

20091016,Pittsburgh Panthers,(Favorite), 24 ,-6.5,-6.0,-240.0,0.4166666666666667,0.6787306531315549,-0.038464908063630565
,Rutgers Scarlet Knights,(Underdog), 17 ,6.0,6.5,220.0,2.2,0.3212693468684451,0.028061909979024358

20091017,Texas Longhorns,(Favorite), 16 ,-3.0,-3.0,-150.0,0.6666666666666666,0.545335085413929,-0.09110819097678491
,Oklahoma Sooners,(Underdog), 13 ,3.0,3.0,130.0,1.3,0.45466491458607095,0.04572930354796323

20091017,Boston College Eagles,(Favorite), 52 ,-2.5,-2.0,-130.0,0.7692307692307693,0.539312869973464,-0.04583107620079452
,North Carolina State Wolfpack,(Underdog), 20 ,2.0,2.5,120.0,1.2,0.46068713002653605,0.013511686058379269

20091017,Ohio State Buckeyes,(Favorite), 18 ,-13.5,-13.5,-500.0,0.2,0.8263665594855305,-0.008360128617363377
,Purdue Boilermakers,(Underdog), 26 ,13.5,13.5,400.0,4.0,0.17363344051446947,-0.13183279742765264

20091017,Michigan State Spartans,(Favorite), 24 ,-14.0,-14.0,-550.0,0.18181818181818182,0.8532110091743119,0.008340283569641366
