Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.2,0.014,15.508941977946941,647
1,0.36,0.013,25.734300110094644,543
2,0.31,0.013,19.107342357565717,557
3,0.13,0.022,12.231989034227462,639
4,0.36,0.019,18.93823106260491,472
5,0.13,0.015,7.928445232275015,692
6,0.36,0.069,57.28082400103074,153
7,0.13,0.03,15.52399582657022,600
8,0.34,0.022,33.02608019542119,440
9,0.36,0.014,15.461864237032454,544
10,0.3,0.006,21.335845326586483,662
11,0.11,0.021,20.905972037496625,635
12,0.11,0.027,12.184824240501461,616
13,0.47,0.058,50.8729751102722,177
14,0.34,0.015,23.18575570404634,504
15,0.36,0.02,27.57676510103882,466
16,0.13,0.015,13.795511744027278,657
17,0.31,0.004,19.571415490214967,696
18,0.34,0.004,9.253154094262788,665
19,0.12,0.013,15.51659027371829,716
20,0.23,0.013,18.180371457077484,604
21,0.13,0.013,12.676250453734772,674
22,0.12,0.0,15.10122919061837,725
23,0.29,0.013,19.499623820800625,570
24,0.31,0.012,19.939721027934347,588
25,0.36,0.025,31.426260475483915,431
26,0.31,0.031,26.654928980881643,390
27,0.32,0.0,10.012329276794727,744
28,0.34,0.013,19.681824673236807,564
29,0.36,0.014,29.811559862647634,539
30,0.3,0.004,20.421424047835586,695
31,0.34,0.014,17.887387428739828,569
32,0.34,0.032,35.04394261164786,369
33,0.34,0.012,28.44187093614643,587
34,0.34,0.0,18.3814271564735,728
35,0.34,0.025,21.166195691395835,426
36,0.34,0.0,8.688240557399979,719
37,0.2,0.015,14.039016368737107,587
38,0.11,0.013,9.78688160562373,681
39,0.36,0.025,22.849003275017214,419
40,0.34,0.031,23.752090669792437,354
41,0.16,0.013,18.400494030407017,671
42,0.3,0.022,18.812542302506742,463
43,0.31,0.008,12.035794817891992,644
44,0.12,0.022,15.64513816127777,643
45,0.34,0.007,23.019767162753418,610
46,0.3,0.013,15.561647114418275,561
47,0.29,0.0,14.553194083374576,741
48,0.29,0.013,22.111139421260056,557
49,0.36,0.031,36.2033810762511,369
50,0.34,0.015,23.721251917782883,514
51,0.29,0.004,15.034412616021012,693
52,0.17,0.02,14.752911522494081,591
53,0.36,0.031,40.316676822966855,353
54,0.34,0.014,18.023233478244286,526
55,0.3,0.004,20.11133367016181,692
56,0.07,0.022,14.208266794821093,690
57,0.36,0.013,30.62991092135877,573
58,0.31,0.031,25.777556726154334,368
59,0.34,0.049,28.107199215827976,260
60,0.36,0.036,36.80683717431461,348
61,0.34,0.014,19.810788999746453,554
62,0.34,0.025,19.177605746705407,408
63,0.36,0.013,26.685800089260653,565
64,0.34,0.008,14.669893379071471,632
65,0.36,0.015,29.13461292559054,520
66,0.34,0.004,23.909135630132024,665
67,0.31,0.013,36.800768618493365,568
68,0.31,0.032,32.90642735537234,381
69,0.28,0.015,28.888920138447215,550
70,0.34,0.013,23.82543320117738,584
71,0.34,0.014,21.975247296224005,554
72,0.23,0.006,17.37702034372375,671
73,0.28,0.021,17.969586751664497,487
74,0.12,0.021,15.549446368587406,625
75,0.34,0.0,11.86953485907068,740
