Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.16,0.0,11.312748442895943,770
1,0.16,0.0,13.373074863022735,766
2,0.3,0.054,36.889813966723864,287
3,0.16,0.025,12.90438461118322,620
4,0.36,0.021,22.64541847899884,495
5,0.34,0.045,42.29017478528429,303
6,0.31,0.056,56.09698368619205,243
7,0.34,0.045,33.68373592680953,320
8,0.3,0.026,27.477479602273586,473
9,0.3,0.019,24.87358818748362,549
10,0.31,0.023,24.876468718414383,509
11,0.37,0.046,32.09962502856511,299
12,0.29,0.04,30.420831500805274,359
13,0.11,0.0,9.83641765683869,752
14,0.11,0.022,13.977648007633736,677
15,0.36,0.023,22.202818104405694,485
16,0.34,0.046,34.747533750640045,307
17,0.3,0.022,19.641917376684482,501
18,0.31,0.043,21.154049107045438,346
19,0.34,0.047,48.644105748041454,313
20,0.31,0.05,28.910639663506903,317
21,0.28,0.022,15.091386515619751,541
22,0.11,0.0,18.37948973228655,779
23,0.31,0.046,45.85636756560743,323
24,0.14,0.022,10.529067672567527,647
25,0.31,0.024,24.741709884679246,479
26,0.11,0.012,10.171288088033386,696
27,0.12,0.0,15.65869472005739,775
28,0.3,0.043,36.290224060370605,319
29,0.34,0.044,31.824449953304658,305
30,0.16,0.008,16.03359536145089,700
31,0.03,0.018,7.295409987255261,745
32,0.34,0.046,25.817444892439116,307
33,0.34,0.045,30.279479034163444,330
34,0.29,0.02,18.064566107367895,565
35,0.16,0.0,11.091502220730817,790
36,0.17,0.0,8.927384511991157,778
37,0.12,0.0,12.522401997405746,760
38,0.12,0.0,14.46448150135382,758
39,0.37,0.045,34.67995412451904,316
40,0.11,0.0,9.849291623075256,757
41,0.34,0.044,31.155125339513468,308
42,0.34,0.0,12.726756963273978,759
43,0.12,0.0,16.60637272254344,755
44,0.11,0.0,13.197751854941565,781
45,0.11,0.022,10.905538155072067,657
46,0.16,0.023,21.574879845315433,628
47,0.34,0.045,43.03740175620815,290
48,0.31,0.024,33.0664306609722,493
49,0.3,0.045,22.901257778976728,351
50,0.31,0.024,29.99133079587091,475
51,0.31,0.045,20.630198236727452,322
52,0.17,0.0,9.63038457019616,765
53,0.31,0.046,35.284521410677414,288
54,0.34,0.046,45.165046468611536,300
55,0.3,0.046,28.713520412639348,321
56,0.11,0.022,8.510384350067309,683
57,0.34,0.044,34.75540647835132,334
58,0.12,0.0,12.43544729930938,747
59,0.17,0.044,19.013215255465603,514
60,0.12,0.0,19.458180256058803,764
61,0.12,0.0,15.059948681736465,765
62,0.23,0.044,18.424828040753813,413
63,0.1,0.007,14.692512556518922,731
64,0.16,0.0,10.208899934219895,768
65,0.3,0.045,37.29483846737747,331
66,0.31,0.045,38.888374639542036,335
67,0.36,0.022,21.155852002161037,484
68,0.31,0.043,48.699275444944945,314
69,0.15,0.012,19.214798856658042,675
70,0.16,0.007,10.724491986587656,722
71,0.16,0.022,14.399586512200877,618
72,0.11,0.0,11.953853762079556,769
73,0.29,0.021,21.286961665942652,552
74,0.34,0.044,21.09980814799883,320
75,0.14,0.025,13.87835185476617,601
76,0.36,0.021,19.550529566317078,513
77,0.3,0.0,14.276627452622662,767
78,0.11,0.0,14.145475874519772,763
79,0.3,0.044,29.95742129393871,320
80,0.31,0.045,21.65926787385935,299
81,0.17,0.0,12.33343866437754,769
82,0.34,0.009,18.093079437212335,649
83,0.3,0.046,25.376406547334618,337
84,0.31,0.046,27.589715751371763,315
85,0.1,0.012,11.139615847346986,706
86,0.16,0.0,13.71812481425807,774
87,0.12,0.0,10.667603978761923,776
88,0.28,0.024,18.58680989244754,509
89,0.31,0.046,22.37373932663421,326
90,0.34,0.021,25.46599332558162,518
91,0.34,0.044,16.853415524827838,316
92,0.12,0.005,16.025124119945712,737
93,0.11,0.022,11.168790258478634,669
94,0.28,0.024,15.52171475063372,510
95,0.11,0.026,14.91977834747303,650
96,0.34,0.045,22.879047960609594,316
97,0.11,0.012,9.532416618432434,712
98,0.31,0.021,31.403630519163062,523
99,0.12,0.007,15.764688072348898,709
100,0.11,0.0,12.675960521968415,765
101,0.16,0.008,10.3739363062771,720
102,0.16,0.007,12.903183764638692,698
103,0.34,0.049,43.52262541492419,263
104,0.31,0.022,18.860091648106213,517
105,0.31,0.037,27.804515540250303,347
106,0.3,0.021,20.920290880037204,535
107,0.31,0.024,27.419943860921382,460
108,0.31,0.024,24.786332936818127,464
109,0.16,0.019,9.143503028635104,615
110,0.34,0.021,17.073245967519586,505
111,0.3,0.009,15.782171892726302,645
112,0.31,0.045,34.85937126711992,309
113,0.14,0.012,14.77369575518021,699
114,0.16,0.005,18.253964057194274,739
115,0.14,0.008,11.042248336402347,709
116,0.34,0.046,18.59145789647996,311
117,0.1,0.0,14.405206896204792,771
118,0.16,0.0,7.681651784786961,766
119,0.21,0.044,16.74337741040986,426
120,0.16,0.021,11.606217110123781,631
121,0.34,0.023,22.534883427446335,498
122,0.12,0.009,18.86717749891739,721
123,0.12,0.0,11.971719006853268,786
124,0.34,0.022,12.162729525194434,491
125,0.17,0.0,10.516073535405525,763
126,0.03,0.058,6.734382879536841,703
127,0.36,0.045,35.52382652246935,318
128,0.12,0.0,12.591153368063024,763
129,0.34,0.02,11.678155522934281,553
130,0.11,0.0,12.010421380343415,785
131,0.12,0.0,14.836263246892548,742
132,0.3,0.056,45.13637336770919,242
133,0.31,0.022,18.11123167397111,516
134,0.11,0.022,11.110556212624017,679
135,0.11,0.0,14.940741539581307,762
136,0.34,0.044,35.200257929952386,298
137,0.12,0.022,11.643275021539285,678
138,0.11,0.022,16.51051964566681,659
139,0.12,0.021,13.462477304160497,679
140,0.12,0.0,14.221777050748937,776
141,0.3,0.056,34.602560776952885,273
142,0.3,0.044,25.290315532304362,323
143,0.16,0.057,11.613769685474939,470
144,0.11,0.0,11.938014163848901,751
145,0.12,0.0,12.74598310800795,763
146,0.36,0.045,35.37244124363374,305
147,0.3,0.044,31.551136033306072,319
148,0.31,0.024,22.950298760166504,471
149,0.11,0.0,12.962338431783193,763
150,0.31,0.044,36.502423308345975,324
151,0.31,0.021,25.467604014779532,511
152,0.31,0.056,14.55797059484129,247
153,0.16,0.019,14.875279164970797,659
154,0.34,0.046,25.504098971975615,307
155,0.16,0.012,16.44860370189349,689
156,0.11,0.0,15.097586604494904,775
157,0.12,0.022,17.43518549827382,664
158,0.34,0.057,36.080517831117305,248
159,0.17,0.021,15.820298882714031,618
160,0.16,0.027,11.14881457507219,585
161,0.13,0.0,11.822481422750245,766
162,0.14,0.012,17.380779159246124,688
163,0.31,0.044,45.6460233243972,317
164,0.11,0.0,10.415167981332846,780
165,0.31,0.045,35.71760199441562,282
166,0.12,0.0,9.481658808179304,759
167,0.31,0.047,28.111452771112212,282
168,0.16,0.0,9.766428478879936,777
169,0.21,0.0,13.912580985511575,734
170,0.11,0.022,10.526298980083125,665
171,0.11,0.0,11.951021212947332,762
172,0.31,0.023,20.20783426096713,479
173,0.31,0.0,13.828223402425197,788
174,0.11,0.0,6.467818394749031,772
175,0.11,0.0,16.301296905996786,767
176,0.34,0.044,24.953059473873616,320
177,0.16,0.0,12.501055246156145,761
178,0.17,0.009,14.293518088783271,697
179,0.3,0.045,32.07513799224307,297
180,0.08,0.025,12.079366272447785,714
181,0.11,0.025,14.350884086119347,660
182,0.12,0.0,12.771319945412166,773
183,0.37,0.044,47.405905092280484,298
184,0.12,0.0,12.438483384203971,774
185,0.31,0.045,30.923634193539684,323
186,0.12,0.007,8.674733588768106,717
187,0.3,0.021,23.374053396446108,503
188,0.16,0.023,10.055863556672143,616
189,0.12,0.009,12.025013913758894,721
190,0.34,0.046,27.19231958550543,323
191,0.34,0.048,44.01444013264458,277
