Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.33,0.096,48.524131770630426,111
1,0.44,0.084,32.251225122512224,101
2,0.33,0.09,28.791851936016492,113
3,0.33,0.076,40.59257740594428,118
4,0.2,0.011,28.191429625016095,224
5,0.42,0.067,31.11072557637442,131
6,0.44,0.072,15.304446332483701,107
7,0.2,0.062,20.540635617360923,176
8,0.27,0.103,16.061157956508264,134
9,0.33,0.09,27.61963313865548,107
10,0.31,0.072,29.60800451012376,144
11,0.32,0.083,34.315649208739664,125
12,0.27,0.084,34.08775309502829,150
13,0.27,0.093,21.848922655427096,120
14,0.33,0.086,38.81528491191651,110
15,0.33,0.108,46.00837421575287,95
16,0.33,0.076,38.38891513648377,131
17,0.33,0.086,44.14546428986089,120
18,0.2,0.072,32.96655051647832,160
19,0.33,0.076,24.94576936153812,134
20,0.33,0.085,34.57902159872605,126
21,0.33,0.065,31.080861213801352,145
22,0.32,0.067,28.61135078557455,141
23,0.32,0.062,39.3451343736337,144
24,0.27,0.096,32.68177596286764,136
25,0.27,0.087,14.788665175582247,115
26,0.33,0.084,41.13559711120261,134
27,0.24,0.011,14.439955863988537,223
28,0.27,0.084,36.17890450474133,148
29,0.01,0.0,11.699981322741246,230
30,0.33,0.085,33.19492547339976,134
31,0.32,0.103,47.4066874482361,102
32,0.33,0.079,36.381207335618015,142
33,0.23,0.084,19.35754803372543,133
34,0.18,0.058,25.193225640369647,189
35,0.33,0.076,31.931258771886878,141
36,0.27,0.09,30.686671362453765,121
37,0.33,0.096,37.82706802736232,107
38,0.33,0.067,27.285675917353263,159
39,0.16,0.062,16.139883486007943,182
40,0.33,0.076,29.076780133453706,137
41,0.44,0.09,55.46093115058633,87
42,0.33,0.071,54.57167284091982,132
43,0.32,0.072,33.16558016541754,148
44,0.33,0.085,30.633138442098783,127
45,0.33,0.076,49.641000067757076,131
46,0.31,0.087,30.53547873034608,121
47,0.2,0.103,34.51859401405801,137
48,0.14,0.0,6.032179359581995,230
49,0.31,0.0,20.98409611445454,232
50,0.33,0.09,35.07491401513143,138
51,0.27,0.09,26.558982352685145,147
52,0.33,0.09,17.9969080909182,116
53,0.33,0.071,36.7056832482893,141
54,0.2,0.067,30.745797556998806,170
55,0.33,0.092,34.540789175086395,118
56,0.3,0.096,27.114642261434206,111
57,0.33,0.076,37.007627134747516,147
58,0.32,0.09,19.120021350597813,126
59,0.32,0.09,29.154024717391458,112
60,0.23,0.193,19.686377487130095,92
61,0.42,0.084,32.05254795142435,89
62,0.19,0.079,18.721372535491412,155
63,0.32,0.103,17.82210122648276,109
64,0.19,0.0,16.499651819801414,230
65,0.13,0.079,12.170687469370831,174
66,0.39,0.096,39.46490425462391,107
67,0.39,0.072,55.13070754221199,113
68,0.33,0.076,32.50838136027585,152
69,0.16,0.0,12.295027107512386,220
70,0.32,0.062,33.96752089352031,154
71,0.18,0.076,25.443566605663577,173
72,0.2,0.103,17.539736564009484,149
73,0.33,0.085,49.3309513719534,122
74,0.18,0.086,14.996059750259985,148
75,0.2,0.086,20.12380274883316,138
76,0.31,0.076,18.94848440180356,130
77,0.33,0.086,43.66666729603283,119
78,0.18,0.062,24.28247112970643,171
79,0.33,0.065,32.54467376933054,139
80,0.27,0.067,28.616199319704847,160
81,0.32,0.072,32.140221400894966,143
82,0.31,0.09,48.8093788387985,122
83,0.3,0.076,14.466348333792453,147
84,0.33,0.076,48.98002933722266,122
85,0.23,0.067,23.5295724578674,172
86,0.44,0.083,38.36205189146364,102
87,0.44,0.084,51.99924779712015,94
88,0.18,0.087,28.503316118653636,162
89,0.2,0.085,13.345104522213797,137
90,0.42,0.085,36.544309070082264,97
91,0.27,0.06,41.86146468572394,163
92,0.24,0.085,21.505886864995354,144
93,0.13,0.058,6.024466637027105,168
94,0.24,0.062,33.67995472884314,180
95,0.2,0.084,26.463662316475794,145
96,0.42,0.086,60.20410288451523,97
97,0.44,0.192,54.11868686868686,40
98,0.33,0.096,45.083908209191215,125
99,0.44,0.106,47.180629827688634,68
100,0.32,0.084,31.565170758940386,132
101,0.3,0.103,37.384287060096796,109
102,0.27,0.072,28.450852302687885,153
103,0.27,0.086,27.874418914831267,142
104,0.44,0.084,19.190489803697346,106
105,0.33,0.067,22.110030287356203,147
106,0.16,0.0,23.769745087217075,234
107,0.2,0.117,18.31235447164278,124
108,0.32,0.084,39.57692527465743,129
109,0.32,0.076,53.74319528131236,142
110,0.32,0.072,32.42533745364028,145
111,0.2,0.085,42.43410820243572,147
112,0.24,0.072,31.586465964948957,150
113,0.33,0.083,36.89517422961865,134
114,0.33,0.096,53.61480746174957,115
115,0.16,0.065,18.64824024240254,183
116,0.33,0.084,34.44125359861941,115
117,0.33,0.079,24.15411855982844,138
118,0.44,0.062,52.89853421432369,133
119,0.33,0.093,19.817774677026048,93
120,0.33,0.096,28.40756705202568,120
121,0.31,0.083,36.46777484612734,135
122,0.32,0.062,31.666161470453336,160
123,0.44,0.09,49.42557442557443,91
124,0.32,0.086,38.45262782647626,119
125,0.44,0.096,44.98003288700965,86
126,0.2,0.062,14.593172790162637,172
127,0.33,0.076,50.954517227983686,134
128,0.31,0.076,38.56116154061287,135
129,0.44,0.106,50.78169757274237,67
130,0.42,0.079,46.23402163225174,113
131,0.33,0.09,46.66293045631862,129
132,0.44,0.072,72.34753192300364,106
133,0.33,0.062,22.488409302993702,151
134,0.33,0.076,59.40634741233636,130
135,0.33,0.096,45.865249026313535,114
136,0.18,0.12,21.142547498711167,137
137,0.32,0.106,41.64353500216032,106
138,0.19,0.062,16.082212765889885,182
139,0.27,0.076,35.167611541300445,150
140,0.33,0.065,35.73559205485392,147
141,0.33,0.079,47.25970941898532,135
