Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
0,0.18,0.02,22.901109546544753,231
1,0.31,0.123,25.614286024095552,117
2,0.16,0.023,27.983633077934243,214
3,0.18,0.023,22.56004964472599,219
4,0.14,0.023,8.846159388903752,210
5,0.31,0.093,34.822132613933675,139
6,0.31,0.015,16.1862124749524,220
7,0.31,0.023,28.362115029147038,215
8,0.32,0.077,33.04537548597014,150
9,0.32,0.023,16.192784868706376,209
10,0.18,0.083,24.10294920066982,156
11,0.17,0.015,19.869486954893727,231
12,0.16,0.077,24.031172505818642,161
13,0.31,0.091,38.89777374107769,138
14,0.31,0.023,21.55023807078367,204
15,0.16,0.015,12.62262729098419,229
16,0.18,0.044,16.90629064427873,195
17,0.14,0.023,14.171163413045049,216
18,0.14,0.12,16.799402536953956,136
19,0.16,0.12,14.155262719953395,131
20,0.16,0.023,20.47326789855955,215
21,0.16,0.023,18.639750953604,218
22,0.05,0.022,7.677578133511642,231
23,0.32,0.023,35.367372067177584,195
24,0.31,0.076,29.561540059004223,163
25,0.16,0.001,18.510912803915353,236
26,0.32,0.067,27.396501773608318,168
27,0.31,0.023,36.76706153271538,206
28,0.28,0.02,25.98783109470975,224
29,0.31,0.121,53.55850273423031,112
30,0.16,0.023,8.334326485478545,218
31,0.13,0.023,11.64220183920108,214
32,0.13,0.076,13.622308734524744,173
33,0.18,0.027,15.036973308613536,204
34,0.32,0.02,36.859239926712775,213
35,0.03,0.05,6.486971931518884,229
36,0.16,0.041,22.25464907103724,196
37,0.16,0.077,17.8648153890937,169
38,0.27,0.014,20.44594377081902,223
39,0.18,0.015,18.254411647326705,233
40,0.32,0.012,33.61349718774623,231
41,0.18,0.076,8.67592230651332,156
42,0.31,0.091,26.76333148895587,147
43,0.18,0.019,26.264683081740337,219
44,0.32,0.149,22.92969941855433,77
45,0.16,0.027,20.116569466881177,207
46,0.32,0.093,18.413913157075292,139
47,0.31,0.083,25.254003571507113,135
48,0.31,0.023,41.54948569258659,215
49,0.32,0.067,29.255332515275423,161
50,0.18,0.023,11.926887075745011,212
51,0.27,0.083,19.55058379163078,153
52,0.3,0.103,17.42596529014328,138
53,0.14,0.027,13.585843525141389,216
54,0.28,0.023,22.215946287305478,209
55,0.16,0.023,22.538765754475282,219
56,0.32,0.02,26.102599106035367,197
57,0.16,0.12,16.249530441498866,147
58,0.16,0.023,21.43708870779874,207
59,0.16,0.023,22.464664237736738,223
60,0.22,0.13,36.88345469785633,111
61,0.18,0.044,38.75995070378798,195
62,0.32,0.018,30.640332830029386,217
63,0.16,0.027,22.306946824834043,212
64,0.31,0.027,23.88682380512734,204
65,0.32,0.083,34.823625169757385,143
66,0.18,0.018,19.927085845881948,226
67,0.32,0.018,16.591106379530352,214
68,0.16,0.018,18.96761538717433,226
69,0.31,0.027,39.2423477227336,210
70,0.3,0.02,11.756459159459231,215
71,0.31,0.015,22.10886088284431,229
72,0.32,0.018,32.91358329865888,226
73,0.31,0.093,40.093405438343574,128
74,0.18,0.023,11.322502469693708,216
75,0.31,0.076,41.286014035394324,164
76,0.16,0.093,12.282942895946748,165
77,0.16,0.023,22.331071998030453,208
78,0.18,0.088,31.043198581385113,154
79,0.16,0.023,9.484589098716071,216
80,0.32,0.12,18.61372094147214,110
81,0.32,0.077,25.32818516169752,147
82,0.31,0.091,17.808840684144958,150
83,0.16,0.023,25.063369728378827,212
84,0.16,0.018,17.389210569510563,222
85,0.31,0.093,24.17186106235801,145
86,0.32,0.023,25.267981670116395,200
87,0.32,0.023,32.64303157587402,204
88,0.18,0.093,23.727461593999628,161
89,0.31,0.076,35.25237745497811,147
90,0.16,0.015,8.467271809391399,233
91,0.13,0.076,18.06338208812364,176
92,0.16,0.003,11.986868879076413,233
93,0.3,0.046,17.53599746286687,178
94,0.31,0.023,30.588923740139094,203
95,0.31,0.023,20.617744718378113,196
96,0.32,0.023,28.660985042472458,191
97,0.16,0.027,20.16216686820508,218
98,0.31,0.091,36.83567759438232,149
99,0.16,0.023,11.471855551702337,217
100,0.32,0.149,20.94331848781718,101
101,0.32,0.018,16.112758232968194,215
102,0.31,0.076,21.9104610033376,150
103,0.3,0.023,20.58959247990097,208
104,0.16,0.014,20.45129507977684,234
105,0.18,0.027,22.867726569949408,213
106,0.17,0.023,20.716431487080385,213
107,0.32,0.083,38.905399940091066,155
108,0.16,0.067,42.470400088613815,173
109,0.31,0.023,27.622016013427597,200
110,0.31,0.131,10.976567577088916,99
111,0.31,0.093,17.42589316024877,152
112,0.31,0.103,27.201626356827873,134
113,0.32,0.09,40.20216779776699,157
114,0.28,0.076,29.64566393768567,166
115,0.16,0.023,21.501352683948237,221
116,0.14,0.075,20.03446464786998,182
117,0.18,0.023,10.12138566673614,212
118,0.18,0.015,12.600260760464327,223
119,0.28,0.149,23.994033513560904,98
120,0.31,0.093,21.155226604872823,128
121,0.31,0.076,31.60222818945898,152
122,0.28,0.091,40.89443832053659,143
123,0.31,0.155,31.40510412795813,94
124,0.32,0.037,15.5645592360888,190
125,0.32,0.077,33.172572561861685,156
126,0.31,0.023,38.82479081790346,206
127,0.31,0.155,17.457683742039336,85
128,0.28,0.091,21.07682397378107,160
129,0.31,0.019,14.455315438077623,216
130,0.17,0.024,9.6150287409177,214
131,0.13,0.019,10.218058098158991,224
132,0.18,0.018,17.8351002498767,226
133,0.16,0.077,22.81470762753285,182
134,0.16,0.018,14.521196544174531,231
135,0.16,0.016,29.521784823234213,230
136,0.32,0.023,50.874991074789534,206
137,0.32,0.09,51.743617298194756,142
138,0.16,0.023,21.580392077043182,221
139,0.16,0.023,14.285409378810185,216
140,0.32,0.018,34.34156483318566,223
141,0.16,0.018,14.811409960955354,229
142,0.32,0.09,19.65325637929997,150
143,0.16,0.077,27.893209108070476,170
144,0.18,0.045,14.567237487851395,204
145,0.31,0.093,32.7319658184237,141
146,0.48,0.13,55.15962090036162,81
147,0.13,0.023,19.521659066759707,230
148,0.32,0.027,25.73750390567883,203
149,0.16,0.006,11.765791184578841,236
150,0.16,0.023,18.358016256792226,212
151,0.31,0.127,55.00831809739858,108
152,0.16,0.018,15.51260875177232,226
153,0.16,0.018,20.53028751825792,231
154,0.16,0.015,21.168025107190967,224
155,0.32,0.02,23.26331789513479,215
156,0.32,0.019,23.036685596052273,214
157,0.33,0.149,35.83732553566142,80
158,0.16,0.023,22.35405168353456,207
159,0.04,0.082,0.6771056275633741,226
160,0.16,0.014,21.48235408772551,224
161,0.18,0.018,16.851408147172453,225
162,0.32,0.023,28.564334385695616,206
163,0.27,0.148,27.219122635951326,88
164,0.28,0.024,27.122247296350505,216
165,0.16,0.045,30.496265770357,194
166,0.16,0.079,15.286552184820327,174
167,0.16,0.015,12.218899538845518,223
