Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20120620,Washington Mystics,(Favorite), 77 ,-4.0,-2.5,-145.0,0.6896551724137931,0.5636817226890757,-0.047572261663285875
,Phoenix Mercury,(Underdog), 80  ,2.5,4.0,150.0,1.5,0.43631827731092443,0.09079569327731107

20120620,Los Angeles Sparks,(Favorite), 95  ,-16.0,-16.0,-1800.0,0.05555555555555555,1.0,0.05555555555555555
,Tulsa Shock,(Underdog), 79 ,16.0,16.0,1200.0,12.0,0.0,-1.0

20130923,Atlanta Dream,(Favorite), 80  ,-6.5,-6.5,-260.0,0.38461538461538464,0.6097560975609756,-0.15572232645403378
,Washington Mystics,(Underdog), 72 ,6.5,6.5,240.0,2.4,0.3902439024390244,0.3268292682926829

20130923,Los Angeles Sparks,(Favorite), 77  ,-7.5,-7.0,-300.0,0.3333333333333333,0.6934065934065934,-0.0754578754578755
,Phoenix Mercury,(Underdog), 78 ,7.0,7.5,300.0,3.0,0.3065934065934066,0.22637362637362646

20150709,Washington Mystics,(Favorite), 76  ,-4.0,-3.5,-165.0,0.6060606060606061,0.5923713235294117,-0.04861575311942973
,New York Liberty,(Underdog), 79 ,3.5,4.0,165.0,1.65,0.4076286764705882,0.0802159926470587

20150722,Los Angeles Sparks,(Favorite), 53  ,-1.5,0.0,-115.0,0.8695652173913043,0.5401960784313725,0.009931798806479042
,New York Liberty,(Underdog), 59 ,0.0,1.5,105.0,1.05,0.4598039215686274,-0.05740196078431381

20150731,Chicago Sky,(Favorite), 77  ,-5.5,-5.0,-240.0,0.4166666666666667,0.626984126984127,-0.11177248677248675
,Los Angeles Sparks,(Underdog), 88 ,5.0,5.5,200.0,2.0,0.373015873015873,0.11904761904761907

20150804,Chicago Sky,(Favorite), 106  ,-6.0,-5.5,-255.0,0.39215686274509803,0.6491841491841492,-0.09623383152794912
,Indiana Fever,(Underdog), 82 ,5.5,6.0,240.0,2.4,0.3508158508158508,0.19277389277389267

20150804,Minnesota Lynx,(Favorite), 61 ,-2.5,-2.0,-135.0,0.7407407407407407,0.5072751322751322,-0.11696551048402914
,Los Angeles Sparks,(Underdog), 83  ,2.0,2.5,125.0,1.25,0.4927248677248677,0.10863095238095233

20150808,San Antonio Stars,(Favorite), 88  ,-4.5,-4.0,-180.0,0.5555555555555556,0.6289439374185137,-0.0216427640156453
,Seattle Storm,(Underdog), 81 ,4.0,4.5,175.0,1.75,0.3710560625814863,0.020404172099087292

20150818,Los Angeles Sparks,(Favorite), 68  ,-5.0,-4.0,-195.0,0.5128205128205128,0.6424082453494218,-0.028151628830361985
,Indiana Fever,(Underdog), 79 ,4.0,5.0,220.0,2.2,0.35759175465057824,0.14429361488185044

20150821,Phoenix Mercury,(Favorite), 68  ,-5.5,-5.0,-210.0,0.47619047619047616,0.6395927601809954,-0.05583925878043533
,Los Angeles Sparks,(Underdog), 78 ,5.0,5.5,210.0,2.1,0.3604072398190045,0.11726244343891412

20150828,New York Liberty,(Favorite), 81  ,-3.5,-3.0,-150.0,0.6666666666666666,0.5905415339377603,-0.015764110103732798
,Minnesota Lynx,(Underdog), 68 ,3.0,3.5,150.0,1.5,0.4094584660622397,0.02364616515559914

20150828,Los Angeles Sparks,(Favorite), 66 ,-1.5,-1.5,-120.0,0.8333333333333334,0.6086956521739131,0.11594202898550732
,Tulsa Shock,(Underdog), 76  ,1.5,1.5,105.0,1.05,0.391304347826087,-0.19782608695652176

20150828,Seattle Storm,(Favorite), 83  ,-4.0,-3.5,-170.0,0.5882352941176471,0.5863636363636364,-0.06871657754010685
,San Antonio Stars,(Underdog), 69 ,3.5,4.0,160.0,1.6,0.41363636363636364,0.07545454545454544

20150829,Chicago Sky,(Favorite), 98 ,-2.5,-1.5,-125.0,0.8,0.5310896811481265,-0.044038573933372294
,Atlanta Dream,(Underdog), 96  ,1.5,2.5,130.0,1.3,0.4689103188518735,0.07849373335930909

20150830,Washington Mystics,(Favorite), 59 ,-4.5,-4.0,-190.0,0.5263157894736842,0.6243752839618355,-0.04700614553193533
,Seattle Storm,(Underdog), 69  ,4.0,4.5,175.0,1.75,0.3756247160381645,0.032967969104952366

20150918,New York Liberty,(Favorite), 83  ,-5.5,-5.0,-240.0,0.4166666666666667,0.6458333333333333,-0.08506944444444453
,Washington Mystics,(Underdog), 86 ,5.0,5.5,210.0,2.1,0.35416666666666663,0.09791666666666654

20150918,Minnesota Lynx,(Favorite), 67  ,-5.5,-5.0,-230.0,0.43478260869565216,0.6458333333333333,-0.07336956521739141
,Los Angeles Sparks,(Underdog), 65 ,5.0,5.5,220.0,2.2,0.35416666666666663,0.1333333333333333

20150919,Indiana Fever,(Favorite), 89  ,-3.5,-3.5,-165.0,0.6060606060606061,0.5679012345679012,-0.08791619902731018
,Chicago Sky,(Underdog), 82 ,3.5,3.5,150.0,1.5,0.43209876543209874,0.08024691358024683

20150919,Phoenix Mercury,(Favorite), 91 ,-4.0,-4.0,-175.0,0.5714285714285714,0.5921052631578947,-0.0695488721804512
,Tulsa Shock,(Underdog), 67  ,4.0,4.0,155.0,1.55,0.40789473684210525,0.04013157894736852

20150920,New York Liberty,(Favorite), 86 ,-2.0,-1.5,-125.0,0.8,0.6,0.07999999999999996
,Washington Mystics,(Underdog), 68  ,1.5,2.0,110.0,1.1,0.4,-0.15999999999999992

20150920,Los Angeles Sparks,(Favorite), 81  ,-3.0,-3.0,-155.0,0.6451612903225806,0.625,0.028225806451612878
,Minnesota Lynx,(Underdog), 71 ,3.0,3.0,135.0,1.35,0.375,-0.11874999999999991

20150923,New York Liberty,(Favorite), 84  ,-2.5,-1.5,-125.0,0.8,0.5472047078604456,-0.01503152585119788
,Indiana Fever,(Underdog), 67 ,1.5,2.5,120.0,1.2,0.45279529213955444,-0.003850357292980333

20150923,New York Liberty,(Favorite), 84  ,-2.5,-1.5,-125.0,0.8,0.5472047078604456,-0.01503152585119788
,Indiana Fever,(Underdog), 67 ,1.5,2.5,120.0,1.2,0.45279529213955444,-0.003850357292980333

20150927,New York Liberty,(Favorite), 64  ,-4.0,-3.5,-170.0,0.5882352941176471,0.5826519159852492,-0.07461166284695708
