Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV

20120620,Washington Mystics,(Favorite), 77 ,-4.0,-2.5,-145.0,0.6896551724137931,0.5937791783380019,0.003282059950416971
,Phoenix Mercury,(Underdog), 80  ,2.5,4.0,150.0,1.5,0.40622082166199813,0.015552054154995276

20120620,Los Angeles Sparks,(Favorite), 95  ,-16.0,-16.0,-1800.0,0.05555555555555555,1.0,0.05555555555555555
,Tulsa Shock,(Underdog), 79 ,16.0,16.0,1200.0,12.0,0.0,-1.0

20130923,Atlanta Dream,(Favorite), 80  ,-6.5,-6.5,-260.0,0.38461538461538464,0.6097560975609756,-0.15572232645403378
,Washington Mystics,(Underdog), 72 ,6.5,6.5,240.0,2.4,0.3902439024390244,0.3268292682926829

20130923,Los Angeles Sparks,(Favorite), 77  ,-7.5,-7.0,-300.0,0.3333333333333333,0.6543956043956044,-0.12747252747252746
,Phoenix Mercury,(Underdog), 78 ,7.0,7.5,300.0,3.0,0.34560439560439565,0.3824175824175826

20150709,Washington Mystics,(Favorite), 76  ,-4.0,-3.5,-165.0,0.6060606060606061,0.6148897058823529,-0.012449866310160429
,New York Liberty,(Underdog), 79 ,3.5,4.0,165.0,1.65,0.385110294117647,0.020542279411764564

20150722,Los Angeles Sparks,(Favorite), 53  ,-1.5,0.0,-115.0,0.8695652173913043,0.6088235294117648,0.13823529411764712
,New York Liberty,(Underdog), 59 ,0.0,1.5,105.0,1.05,0.39117647058823524,-0.19808823529411773

20150731,Chicago Sky,(Favorite), 77  ,-5.5,-5.0,-240.0,0.4166666666666667,0.6084656084656085,-0.13800705467372132
,Los Angeles Sparks,(Underdog), 88 ,5.0,5.5,200.0,2.0,0.3915343915343915,0.17460317460317454

20150804,Chicago Sky,(Favorite), 106  ,-6.0,-5.5,-255.0,0.39215686274509803,0.6676656676656677,-0.07050465873995282
,Indiana Fever,(Underdog), 82 ,5.5,6.0,240.0,2.4,0.33233433233433235,0.12993672993673

